accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.545692886201567085e-04,1.999999999999879652e-02,9.794841342675546514e+00
-1.545847463277809711e-04,3.799999999999879169e-02,9.794841342696066988e+00
-1.546141152717548360e-04,5.419999999999879081e-02,9.794841342603236356e+00
-1.546560043287400620e-04,6.877999999999878655e-02,9.794841342408341589e+00
-1.547091614877262663e-04,8.190199999999878133e-02,9.794841342121518579e+00
-1.547724599387983796e-04,9.371179999999879051e-02,9.794841341751874708e+00
-1.548448855530279715e-04,1.043406199999988015e-01,9.794841341307600757e+00
-1.549255256143751967e-04,1.139065579999987976e-01,9.794841340796043738e+00
-1.550135586784001879e-04,1.225159021999988052e-01,9.794841340223825910e+00
-1.551082454451035519e-04,1.302643119799987981e-01,9.794841339596890961e+00
-1.552089205444829754e-04,1.372378807819988056e-01,9.794841338920587503e+00
-1.553149851435333567e-04,1.435140927037988068e-01,9.794841338199731240e+00
-1.554259002925477569e-04,1.491626834334187912e-01,9.794841337438647599e+00
-1.555411809367877494e-04,1.542464150900767772e-01,9.794841336641239238e+00
-1.556603905269868715e-04,1.588217735810689701e-01,9.794841335811003802e+00
-1.557831361688034693e-04,1.629395962229619466e-01,9.794841334951101430e+00
-1.559090642573286798e-04,1.666456366006656142e-01,9.794841334064370741e+00
-1.560378565481430251e-04,1.699810729405989151e-01,9.794841333153371465e+00
-1.561692266212679771e-04,1.729829656465388943e-01,9.794841332220400432e+00
-1.563029166987216331e-04,1.756846690818848755e-01,9.794841331267535978e+00
-1.564386947803194673e-04,1.781162021736962531e-01,9.794841330296636173e+00
-1.565763520658946801e-04,1.803045819563265095e-01,9.794841329309390332e+00
-1.567157006352962872e-04,1.822741237606937403e-01,9.794841328307304806e+00
-1.568565713603878797e-04,1.840467113846242508e-01,9.794841327291745614e+00
-1.569988120258461852e-04,1.856420402461617103e-01,9.794841326263938441e+00
-1.571422856378798657e-04,1.870778362215454182e-01,9.794841325224989959e+00
-1.572868689020761831e-04,1.883700525993907415e-01,9.794841324175891373e+00
-1.574324508534635510e-04,1.895330473394515325e-01,9.794841323117543297e+00
-1.575789316235670970e-04,1.905797426055062527e-01,9.794841322050752197e+00
-1.577262213307593984e-04,1.915217683449554897e-01,9.794841320976241050e+00
-1.578742390815753786e-04,1.923695915104598197e-01,9.794841319894670661e+00
-1.580229120718966451e-04,1.931326323594137195e-01,9.794841318806632557e+00
-1.581721747780162949e-04,1.938193691234722238e-01,9.794841317712648987e+00
-1.583219682285981586e-04,1.944374322111248887e-01,9.794841316613204896e+00
-1.584722393494397057e-04,1.949936889900122650e-01,9.794841315508731938e+00
-1.586229403737584903e-04,1.954943200910109202e-01,9.794841314399617360e+00
-1.587740283114505500e-04,1.959448880819097127e-01,9.794841313286211104e+00
-1.589254644714221260e-04,1.963503992737186121e-01,9.794841312168824032e+00
-1.590772140316891090e-04,1.967153593463466243e-01,9.794841311047749244e+00
-1.592292456524657251e-04,1.970438234117118381e-01,9.794841309923240757e+00
-1.593815311279450078e-04,1.973394410705405222e-01,9.794841308795518842e+00
-1.595340450729006198e-04,1.976054969634863379e-01,9.794841307664803765e+00
-1.596867646406291094e-04,1.978449472671375831e-01,9.794841306531269609e+00
-1.598396692690974704e-04,1.980604525404237037e-01,9.794841305395095787e+00
-1.599927404524761302e-04,1.982544072863812179e-01,9.794841304256429737e+00
-1.601459615355186792e-04,1.984289665577429751e-01,9.794841303115411790e+00
-1.602993175285033327e-04,1.985860699019685593e-01,9.794841301972157410e+00
-1.604527949406808285e-04,1.987274629117715685e-01,9.794841300826783836e+00
-1.606063816303769719e-04,1.988547166205942851e-01,9.794841299679388769e+00
-1.607600666700850875e-04,1.989692449585347411e-01,9.794841298530064577e+00
-1.609138402250494444e-04,1.990723204626811405e-01,9.794841297378889422e+00
-1.610676934439900362e-04,1.991650884164128943e-01,9.794841296225939686e+00
-1.612216183607549820e-04,1.992485795747714894e-01,9.794841295071275766e+00
-1.613756078058079142e-04,1.993237216172942250e-01,9.794841293914961611e+00
-1.615296553265662511e-04,1.993913494555646648e-01,9.794841292757048734e+00
-1.616837551157057531e-04,1.994522145100080801e-01,9.794841291597586874e+00
-1.618379019466350708e-04,1.995069930590071539e-01,9.794841290436616887e+00
-1.619920911154219194e-04,1.995562937531063230e-01,9.794841289274181406e+00
-1.621463183885276760e-04,1.996006643777955558e-01,9.794841288110310629e+00
-1.623005799557676425e-04,1.996405979400158737e-01,9.794841286945040082e+00
-1.624548723879758779e-04,1.996765381460141597e-01,9.794841285778396411e+00
-1.626091925989032712e-04,1.997088843314126227e-01,9.794841284610408039e+00
-1.627635378109258256e-04,1.997379958982712367e-01,9.794841283441094504e+00
-1.629179055241820851e-04,1.997641963084439976e-01,9.794841282270478899e+00
-1.630722934887970130e-04,1.997877766775994768e-01,9.794841281098582542e+00
-1.632266996798834339e-04,1.998089990098393942e-01,9.794841279925416089e+00
-1.633811222750428875e-04,1.998280991088553227e-01,9.794841278750997304e+00
