gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.803641037695666798e-05,3.543207813446885412e-03,2.214041970068620843e-03
-1.803821401748091128e-05,3.543207806477197564e-03,2.214041981222453041e-03
-1.804164093493883250e-05,3.543207799506812358e-03,2.214041992377400667e-03
-1.804652880163686767e-05,3.543207792535103123e-03,2.214042003534466389e-03
-1.805273152265082345e-05,3.543207785561505643e-03,2.214042014694556169e-03
-1.806011761254890449e-05,3.543207778585511208e-03,2.214042025858481855e-03
-1.806856873444253022e-05,3.543207771606661418e-03,2.214042037026973768e-03
-1.807797838513194763e-05,3.543207764624546445e-03,2.214042048200692836e-03
-1.808825071173741220e-05,3.543207757638796359e-03,2.214042059380231034e-03
-1.809929944666712948e-05,3.543207750649075925e-03,2.214042070566120488e-03
-1.811104694908850717e-05,3.543207743655085902e-03,2.214042081758843886e-03
-1.812342334225221354e-05,3.543207736656556108e-03,2.214042092958831438e-03
-1.813636573708382770e-05,3.543207729653244115e-03,2.214042104166472156e-03
-1.814981753341639995e-05,3.543207722644930915e-03,2.214042115382116888e-03
-1.816372779109965931e-05,3.543207715631419615e-03,2.214042126606080487e-03
-1.817805066399837480e-05,3.543207708612532408e-03,2.214042137838646146e-03
-1.819274489059083375e-05,3.543207701588111432e-03,2.214042149080069303e-03
-1.820777333550748531e-05,3.543207694558011406e-03,2.214042160330578941e-03
-1.822310257691576383e-05,3.543207687522104393e-03,2.214042171590382795e-03
-1.823870253516632673e-05,3.543207680480273732e-03,2.214042182859666044e-03
-1.825454613857479207e-05,3.543207673432414908e-03,2.214042194138596525e-03
-1.827060902262519750e-05,3.543207666378433811e-03,2.214042205427325157e-03
-1.828686925925319145e-05,3.543207659318245439e-03,2.214042216725986383e-03
-1.830330711320085483e-05,3.543207652251774333e-03,2.214042228034702933e-03
-1.831990482273605263e-05,3.543207645178949802e-03,2.214042239353584962e-03
-1.833664640229987623e-05,3.543207638099712866e-03,2.214042250682731350e-03
-1.835351746488929602e-05,3.543207631014005411e-03,2.214042262022230569e-03
-1.837050506220159010e-05,3.543207623921779299e-03,2.214042273372163281e-03
-1.838759754076431754e-05,3.543207616822988560e-03,2.214042284732601045e-03
-1.840478441245227171e-05,3.543207609717592861e-03,2.214042296103609347e-03
-1.842205623795276187e-05,3.543207602605555773e-03,2.214042307485244998e-03
-1.843940452188438096e-05,3.543207595486844771e-03,2.214042318877562643e-03
-1.845682161840385039e-05,3.543207588361429062e-03,2.214042330280607818e-03
-1.847430064625222725e-05,3.543207581229283060e-03,2.214042341694424324e-03
-1.849183541229646222e-05,3.543207574090383779e-03,2.214042353119049893e-03
-1.850942034271680890e-05,3.543207566944707801e-03,2.214042364554518784e-03
-1.852705042107548808e-05,3.543207559792235610e-03,2.214042376000862657e-03
-1.854472113257851808e-05,3.543207552632952461e-03,2.214042387458108399e-03
-1.856242841391129308e-05,3.543207545466840573e-03,2.214042398926282032e-03
-1.858016860809067662e-05,3.543207538293885201e-03,2.214042410405406541e-03
-1.859793842383185538e-05,3.543207531114075069e-03,2.214042421895501440e-03
-1.861573489897848111e-05,3.543207523927398035e-03,2.214042433396585380e-03
