ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200000180609740141e+01,1.199999999999999858e+02,-2.452629276646229633e-17,2.008276211921799170e+00,-1.229714517366901409e-16,2.459429034733802819e-16
3.200000362334495918e+01,1.199999999999999858e+02,-4.920400140276241898e-17,2.024188379782629443e+00,-1.239457910086032047e-16,2.478915820172064093e-16
3.200000545622783221e+01,1.199999999999999858e+02,-7.409403326107341606e-17,2.042763040848953882e+00,-1.250831609696092530e-16,2.501663219392185059e-16
3.200000730630990375e+01,1.199999999999999858e+02,-9.921762542194164059e-17,2.062266055892945982e+00,-1.262773762169766377e-16,2.525547524339532755e-16
3.200000917413647272e+01,1.199999999999999858e+02,-1.245821827974842017e-16,2.082092767953731993e+00,-1.274914121901195300e-16,2.549828243802390600e-16
3.200001105989765904e+01,1.199999999999999858e+02,-1.501902873209072294e-16,2.102032346185398914e+00,-1.287123592230075013e-16,2.574247184460150025e-16
3.200001296365977055e+01,1.199999999999999858e+02,-1.760428392566535127e-16,2.122011278417468727e+00,-1.299357159934267913e-16,2.598714319868535826e-16
3.200001488544592121e+01,1.199999999999999858e+02,-2.021401525075245391e-16,2.142003932541010069e+00,-1.311599129873695443e-16,2.623198259747390887e-16
3.200001682526416147e+01,1.199999999999999858e+02,-2.284823365246595656e-16,2.162001371192264543e+00,-1.323844029491397704e-16,2.647688058982795408e-16
3.200001878311730508e+01,1.199999999999999858e+02,-2.550694294713109683e-16,2.182000478105179386e+00,-1.336089950624751205e-16,2.672179901249502411e-16
3.200002075900633969e+01,1.199999999999999858e+02,-2.819014446541822049e-16,2.202000166704968009e+00,-1.348336227938588740e-16,2.696672455877177480e-16
3.200002275293159215e+01,1.199999999999999858e+02,-3.089783867130337297e-16,2.222000058126428090e+00,-1.360582629444881423e-16,2.721165258889762847e-16
3.200002476489320458e+01,1.199999999999999858e+02,-3.363002572656501473e-16,2.242000020267431726e+00,-1.372829074254405683e-16,2.745658148508811367e-16
3.200002679489119117e+01,1.199999999999999858e+02,-3.638670568761180343e-16,2.262000007066815588e+00,-1.385075534162832933e-16,2.770151068325665865e-16
3.200002884292558747e+01,1.199999999999999858e+02,-3.916787857411221082e-16,2.282000002464045441e+00,-1.397321999335922620e-16,2.794643998671845241e-16
3.200003090899638636e+01,1.199999999999999858e+02,-4.197354439292421396e-16,2.302000000859159456e+00,-1.409568466344686951e-16,2.819136932689373902e-16
3.200003299310359495e+01,1.199999999999999858e+02,-4.480370314643904255e-16,2.322000000299569766e+00,-1.421814933993510586e-16,2.843629867987021173e-16
3.200003509524722034e+01,1.199999999999999858e+02,-4.765835483549045352e-16,2.342000000104452972e+00,-1.434061401865509628e-16,2.868122803731019256e-16
3.200003721542724833e+01,1.199999999999999858e+02,-5.053749946036919144e-16,2.362000000036421188e+00,-1.446307869815325607e-16,2.892615739630651215e-16
3.200003935364368601e+01,1.199999999999999858e+02,-5.344113702117661506e-16,2.382000000012699292e+00,-1.458554337792273718e-16,2.917108675584547436e-16
3.200004150989652629e+01,1.199999999999999858e+02,-5.636926751794806535e-16,2.402000000004428593e+00,-1.470800805778682982e-16,2.941601611557365965e-16
3.200004368418578338e+01,1.199999999999999858e+02,-5.932189095069586827e-16,2.422000000001544695e+00,-1.483047273768390672e-16,2.966094547536781343e-16
3.200004587651145016e+01,1.199999999999999858e+02,-6.229900731942431325e-16,2.442000000000539295e+00,-1.495293741759248372e-16,2.990587483518496744e-16
3.200004808687352664e+01,1.199999999999999858e+02,-6.530061662413490898e-16,2.462000000000188482e+00,-1.507540209750507159e-16,3.015080419501014318e-16
3.200005031527200572e+01,1.199999999999999858e+02,-6.832671886482815836e-16,2.482000000000065931e+00,-1.519786677741905722e-16,3.039573355483811444e-16
3.200005256170690870e+01,1.199999999999999858e+02,-7.137731404150426848e-16,2.502000000000023761e+00,-1.532033145733353342e-16,3.064066291466706685e-16
3.200005482617820718e+01,1.199999999999999858e+02,-7.445240215416328862e-16,2.522000000000008679e+00,-1.544279613724817726e-16,3.088559227449635452e-16
3.200005710868591535e+01,1.199999999999999858e+02,-7.755198320280524838e-16,2.542000000000003812e+00,-1.556526081716288273e-16,3.113052163432576546e-16
3.200005940923004033e+01,1.199999999999999858e+02,-8.067605718743014775e-16,2.562000000000001609e+00,-1.568772549707760545e-16,3.137545099415521091e-16
3.200006172781057501e+01,1.199999999999999858e+02,-8.382462410803799660e-16,2.581999999999999407e+00,-1.581019017699232571e-16,3.162038035398465142e-16
3.200006406442751228e+01,1.199999999999999858e+02,-8.699768396462878506e-16,2.601999999999997204e+00,-1.593265485690704843e-16,3.186530971381409687e-16
3.200006641908086635e+01,1.199999999999999858e+02,-9.019523675720249341e-16,2.621999999999995001e+00,-1.605511953682177116e-16,3.211023907364354232e-16
3.200006879177062302e+01,1.199999999999999858e+02,-9.341728248575921041e-16,2.641999999999992799e+00,-1.617758421673649142e-16,3.235516843347298283e-16
3.200007118249679650e+01,1.199999999999999858e+02,-9.666382115029878813e-16,2.661999999999990596e+00,-1.630004889665121414e-16,3.260009779330242828e-16
3.200007359125937256e+01,1.199999999999999858e+02,-9.993485275082140407e-16,2.681999999999988393e+00,-1.642251357656593440e-16,3.284502715313186880e-16
3.200007601805836543e+01,1.199999999999999858e+02,-1.032303772873268807e-15,2.701999999999986191e+00,-1.654497825648065712e-16,3.308995651296131425e-16
3.200007846289376090e+01,1.199999999999999858e+02,-1.065503947598153759e-15,2.721999999999983988e+00,-1.666744293639537985e-16,3.333488587279075969e-16
3.200008092576556606e+01,1.199999999999999858e+02,-1.098949051682867515e-15,2.741999999999981785e+00,-1.678990761631010010e-16,3.357981523262020021e-16
3.200008340667378093e+01,1.199999999999999858e+02,-1.132639085127411259e-15,2.761999999999979583e+00,-1.691237229622482283e-16,3.382474459244964566e-16
3.200008590561840549e+01,1.199999999999999858e+02,-1.166574047931784005e-15,2.781999999999977380e+00,-1.703483697613954555e-16,3.406967395227909110e-16
3.200008842259943975e+01,1.199999999999999858e+02,-1.200753940095986541e-15,2.801999999999975177e+00,-1.715730165605426581e-16,3.431460331210853162e-16
3.200009095761688371e+01,1.199999999999999858e+02,-1.235178761620018277e-15,2.821999999999972975e+00,-1.727976633596898853e-16,3.455953267193797707e-16
3.200009351067073027e+01,1.199999999999999858e+02,-1.269848512503879605e-15,2.841999999999970772e+00,-1.740223101588371126e-16,3.480446203176742251e-16
3.200009608176099363e+01,1.199999999999999858e+02,-1.304763192747570133e-15,2.861999999999968569e+00,-1.752469569579843152e-16,3.504939139159686303e-16
3.200009867088765958e+01,1.199999999999999858e+02,-1.339922802351090254e-15,2.881999999999966366e+00,-1.764716037571315424e-16,3.529432075142630848e-16
3.200010127805074234e+01,1.199999999999999858e+02,-1.375327341314439771e-15,2.901999999999964164e+00,-1.776962505562787450e-16,3.553925011125574900e-16
3.200010390325022769e+01,1.199999999999999858e+02,-1.410976809637618684e-15,2.921999999999961961e+00,-1.789208973554259722e-16,3.578417947108519444e-16
3.200010654648612274e+01,1.199999999999999858e+02,-1.446871207320627190e-15,2.941999999999959758e+00,-1.801455441545731994e-16,3.602910883091463989e-16
3.200010920775842749e+01,1.199999999999999858e+02,-1.483010534363464896e-15,2.961999999999957556e+00,-1.813701909537204020e-16,3.627403819074408041e-16
3.200011188706714904e+01,1.199999999999999858e+02,-1.519394790766132392e-15,2.981999999999955353e+00,-1.825948377528676293e-16,3.651896755057352585e-16
3.200011458441227319e+01,1.199999999999999858e+02,-1.556023976528628890e-15,3.001999999999953150e+00,-1.838194845520148565e-16,3.676389691040297130e-16
3.200011729979379993e+01,1.199999999999999858e+02,-1.592898091650955375e-15,3.021999999999950948e+00,-1.850441313511620591e-16,3.700882627023241182e-16
3.200012003321174348e+01,1.199999999999999858e+02,-1.630017136133110665e-15,3.041999999999948745e+00,-1.862687781503092863e-16,3.725375563006185726e-16
3.200012278466609672e+01,1.199999999999999858e+02,-1.667381109975096140e-15,3.061999999999946542e+00,-1.874934249494565136e-16,3.749868498989130271e-16
3.200012555415685966e+01,1.199999999999999858e+02,-1.704990013176910223e-15,3.081999999999944340e+00,-1.887180717486037161e-16,3.774361434972074323e-16
3.200012834168402520e+01,1.199999999999999858e+02,-1.742843845738554687e-15,3.101999999999942137e+00,-1.899427185477509434e-16,3.798854370955018868e-16
3.200013114724760044e+01,1.199999999999999858e+02,-1.780942607660027956e-15,3.121999999999939934e+00,-1.911673653468981460e-16,3.823347306937962919e-16
3.200013397084758537e+01,1.199999999999999858e+02,-1.819286298941331213e-15,3.141999999999937732e+00,-1.923920121460453732e-16,3.847840242920907464e-16
