ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000018036410410e+01,1.199999999999999858e+02,-2.449293598294706384e-18
3.200000036074624887e+01,1.199999999999999858e+02,-4.898832125949242718e-18
3.200000054116264891e+01,1.199999999999999858e+02,-7.348836019387455342e-18
3.200000072162794140e+01,1.199999999999999858e+02,-9.799503671390804499e-18
3.200000090215525717e+01,1.199999999999999858e+02,-1.225101363546260849e-17
3.200000108275643385e+01,1.199999999999999858e+02,-1.470352660975584993e-17
3.200000126344212248e+01,1.199999999999999858e+02,-1.715718722260821364e-17
3.200000144422190829e+01,1.199999999999999858e+02,-1.961212563952361858e-17
3.200000162510441015e+01,1.199999999999999858e+02,-2.206845900945558810e-17
3.200000180609740141e+01,1.199999999999999858e+02,-2.452629276646229633e-17
3.200000198720787381e+01,1.199999999999999858e+02,-2.698572180119609841e-17
3.200000216844210854e+01,1.199999999999999858e+02,-2.944683151524411337e-17
3.200000234980576153e+01,1.199999999999999858e+02,-3.190969877003475202e-17
3.200000253130394157e+01,1.199999999999999858e+02,-3.437439274085358412e-17
3.200000271294121745e+01,1.199999999999999858e+02,-3.684097568545761687e-17
3.200000289472172454e+01,1.199999999999999858e+02,-3.930950363582815615e-17
3.200000307664917187e+01,1.199999999999999858e+02,-4.178002702074838095e-17
3.200000325872690610e+01,1.199999999999999858e+02,-4.425259122612315853e-17
3.200000344095793281e+01,1.199999999999999858e+02,-4.672723709926685833e-17
3.200000362334495918e+01,1.199999999999999858e+02,-4.920400140276241898e-17
3.200000380589042237e+01,1.199999999999999858e+02,-5.168291722293448037e-17
3.200000398859651085e+01,1.199999999999999858e+02,-5.416401433747523005e-17
3.200000417146519993e+01,1.199999999999999858e+02,-5.664731954630762454e-17
3.200000435449827307e+01,1.199999999999999858e+02,-5.913285696936232345e-17
3.200000453769732189e+01,1.199999999999999858e+02,-6.162064831457693030e-17
3.200000472106378169e+01,1.199999999999999858e+02,-6.411071311909528023e-17
3.200000490459896696e+01,1.199999999999999858e+02,-6.660306896634683104e-17
3.200000508830401458e+01,1.199999999999999858e+02,-6.909773168141809969e-17
3.200000527217999036e+01,1.199999999999999858e+02,-7.159471550688693541e-17
3.200000545622783221e+01,1.199999999999999858e+02,-7.409403326107341606e-17
3.200000564044839280e+01,1.199999999999999858e+02,-7.659569648046560309e-17
3.200000582484243949e+01,1.199999999999999858e+02,-7.909971554790275797e-17
3.200000600941065443e+01,1.199999999999999858e+02,-8.160609980794020987e-17
3.200000619415366288e+01,1.199999999999999858e+02,-8.411485767067776119e-17
3.200000637907201906e+01,1.199999999999999858e+02,-8.662599670520522916e-17
3.200000656416622036e+01,1.199999999999999858e+02,-8.913952372370344930e-17
3.200000674943672863e+01,1.199999999999999858e+02,-9.165544485713518343e-17
3.200000693488393466e+01,1.199999999999999858e+02,-9.417376562336690732e-17
3.200000712050821505e+01,1.199999999999999858e+02,-9.669449098847843932e-17
3.200000730630990375e+01,1.199999999999999858e+02,-9.921762542194164059e-17
3.200000749228929209e+01,1.199999999999999858e+02,-1.017431729462811689e-16
3.200000767844664296e+01,1.199999999999999858e+02,-1.042711371817692298e-16
3.200000786478219084e+01,1.199999999999999858e+02,-1.068015213866507899e-16
3.200000805129616310e+01,1.199999999999999858e+02,-1.093343284933463387e-16
3.200000823798875871e+01,1.199999999999999858e+02,-1.118695611410342848e-16
3.200000842486013397e+01,1.199999999999999858e+02,-1.144072217049752329e-16
3.200000861191045942e+01,1.199999999999999858e+02,-1.169473123229037322e-16
3.200000879913987717e+01,1.199999999999999858e+02,-1.194898349187808289e-16
3.200000898654850801e+01,1.199999999999999858e+02,-1.220347912241714940e-16
3.200000917413647272e+01,1.199999999999999858e+02,-1.245821827974842017e-16
3.200000936190387080e+01,1.199999999999999858e+02,-1.271320110412865982e-16
3.200000954985079460e+01,1.199999999999999858e+02,-1.296842772178895234e-16
3.200000973797732939e+01,1.199999999999999858e+02,-1.322389824633727602e-16
3.200000992628355334e+01,1.199999999999999858e+02,-1.347961278002081156e-16
3.200001011476953039e+01,1.199999999999999858e+02,-1.373557141486201768e-16
3.200001030343532449e+01,1.199999999999999858e+02,-1.399177423368111311e-16
3.200001049228098537e+01,1.199999999999999858e+02,-1.424822131101629028e-16
3.200001068130656989e+01,1.199999999999999858e+02,-1.450491271395192558e-16
3.200001087051211357e+01,1.199999999999999858e+02,-1.476184850286395431e-16
3.200001105989765904e+01,1.199999999999999858e+02,-1.501902873209072294e-16
3.200001124946325604e+01,1.199999999999999858e+02,-1.527645345053673883e-16
3.200001143920891167e+01,1.199999999999999858e+02,-1.553412270221605985e-16
3.200001162913468278e+01,1.199999999999999858e+02,-1.579203652674133882e-16
3.200001181924056937e+01,1.199999999999999858e+02,-1.605019495976396107e-16
3.200001200952661407e+01,1.199999999999999858e+02,-1.630859803337017831e-16
3.200001219999283109e+01,1.199999999999999858e+02,-1.656724577643761216e-16
3.200001239063923464e+01,1.199999999999999858e+02,-1.682613821495612330e-16
3.200001258146585315e+01,1.199999999999999858e+02,-1.708527537231658882e-16
3.200001277247269371e+01,1.199999999999999858e+02,-1.734465726957079488e-16
3.200001296365977055e+01,1.199999999999999858e+02,-1.760428392566535127e-16
3.200001315502710497e+01,1.199999999999999858e+02,-1.786415535765220382e-16
3.200001334657470409e+01,1.199999999999999858e+02,-1.812427158087810896e-16
3.200001353830256079e+01,1.199999999999999858e+02,-1.838463260915514352e-16
3.200001373021071061e+01,1.199999999999999858e+02,-1.864523845491417520e-16
3.200001392229914643e+01,1.199999999999999858e+02,-1.890608912934298958e-16
3.200001411456788247e+01,1.199999999999999858e+02,-1.916718464251059000e-16
3.200001430701692584e+01,1.199999999999999858e+02,-1.942852500347908268e-16
3.200001449964626943e+01,1.199999999999999858e+02,-1.969011022040435999e-16
3.200001469245593455e+01,1.199999999999999858e+02,-1.995194030062672582e-16
3.200001488544592121e+01,1.199999999999999858e+02,-2.021401525075245391e-16
3.200001507861622940e+01,1.199999999999999858e+02,-2.047633507672719383e-16
3.200001527196686624e+01,1.199999999999999858e+02,-2.073889978390202577e-16
3.200001546549783882e+01,1.199999999999999858e+02,-2.100170937709292337e-16
3.200001565920914715e+01,1.199999999999999858e+02,-2.126476386063426314e-16
3.200001585310079122e+01,1.199999999999999858e+02,-2.152806323842698198e-16
3.200001604717277104e+01,1.199999999999999858e+02,-2.179160751398192754e-16
3.200001624142510082e+01,1.199999999999999858e+02,-2.205539669045885752e-16
3.200001643585777344e+01,1.199999999999999858e+02,-2.231943077070155879e-16
3.200001663047079603e+01,1.199999999999999858e+02,-2.258370975726943879e-16
