ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
2.000199999999999978e+00,-1.224769263827267905e-16,2.449538527654535810e-16
2.000579999999999803e+00,-1.225001946719105881e-16,2.450003893438211762e-16
2.001121999999999623e+00,-1.225333826001674609e-16,2.450667652003349218e-16
2.001809799999999750e+00,-1.225754982035901532e-16,2.451509964071803065e-16
2.002628819999999532e+00,-1.226256487146620166e-16,2.452512974293240331e-16
2.003565937999999491e+00,-1.226830306426181732e-16,2.453660612852363464e-16
2.004609344199999477e+00,-1.227469208457702037e-16,2.454938416915404075e-16
2.005748409779999353e+00,-1.228166684965985010e-16,2.456333369931970020e-16
2.006973568801999175e+00,-1.228916878503354236e-16,2.457833757006708471e-16
2.008276211921799170e+00,-1.229714517366901409e-16,2.459429034733802819e-16
2.009648590729619322e+00,-1.230554857024008835e-16,2.461109714048017670e-16
2.011083731656657214e+00,-1.231433627395319945e-16,2.462867254790639890e-16
2.012575358490991562e+00,-1.232346985409414814e-16,2.464693970818829629e-16
2.014117822641892541e+00,-1.233291472302015142e-16,2.466582944604030283e-16
2.015706040377703179e+00,-1.234263975185269888e-16,2.468527950370539775e-16
2.017335436339932730e+00,-1.235261692460113882e-16,2.470523384920227763e-16
2.019001892705939216e+00,-1.236282102687388051e-16,2.472564205374776103e-16
2.020701703435345387e+00,-1.237322936571849896e-16,2.474645873143699793e-16
2.022431533091810785e+00,-1.238382151747780329e-16,2.476764303495560658e-16
2.024188379782629443e+00,-1.239457910086032047e-16,2.478915820172064093e-16
2.025969541804366614e+00,-1.240548557270373611e-16,2.481097114540747222e-16
2.027772587623930090e+00,-1.241652604416195890e-16,2.483305208832391779e-16
2.029595328861537151e+00,-1.242768711527350688e-16,2.485537423054701376e-16
2.031435795975383485e+00,-1.243895672607304408e-16,2.487791345214608817e-16
2.033292216377845296e+00,-1.245032402259177923e-16,2.490064804518355847e-16
2.035162994740060682e+00,-1.246177923625778366e-16,2.492355847251556732e-16
2.037046695266054641e+00,-1.247331357535633832e-16,2.494662715071267664e-16
2.038942025739449271e+00,-1.248491912734418351e-16,2.496983825468836702e-16
2.040847823165504504e+00,-1.249658877093239338e-16,2.499317754186478675e-16
2.042763040848953882e+00,-1.250831609696092530e-16,2.501663219392185059e-16
2.044686736764058654e+00,-1.252009533718575717e-16,2.504019067437151433e-16
2.046618063087652928e+00,-1.253192130018724963e-16,2.506384260037449925e-16
2.048556256778887530e+00,-1.254378931368773933e-16,2.508757862737547866e-16
2.050500631100999005e+00,-1.255569517263733000e-16,2.511139034527466000e-16
2.052450567990899088e+00,-1.256763509249110809e-16,2.513527018498221618e-16
2.054405511191809364e+00,-1.257960566715865585e-16,2.515921133431731169e-16
2.056364960072628367e+00,-1.259160383115859482e-16,2.518320766231718964e-16
2.058328464065365626e+00,-1.260362682555768959e-16,2.520725365111537918e-16
2.060295617658828959e+00,-1.261567216731601866e-16,2.523134433463203732e-16
2.062266055892945982e+00,-1.262773762169766377e-16,2.525547524339532755e-16
2.064239450303651413e+00,-1.263982117744029234e-16,2.527964235488058469e-16
2.066215505273286457e+00,-1.265192102440780775e-16,2.530384204881561550e-16
2.068193954745957797e+00,-1.266403553347771440e-16,2.532807106695542881e-16
2.070174559271361847e+00,-1.267616323843977984e-16,2.535232647687955968e-16
2.072157103344225870e+00,-1.268830281970478744e-16,2.537660563940957487e-16
2.074141393009803380e+00,-1.270045308964243978e-16,2.540090617928487955e-16
2.076127253708822895e+00,-1.271261297938547337e-16,2.542522595877094674e-16
2.078114528337940747e+00,-1.272478152695335280e-16,2.544956305390670561e-16
2.080103075504146748e+00,-1.273695786656359251e-16,2.547391573312718501e-16
2.082092767953731993e+00,-1.274914121901195300e-16,2.549828243802390600e-16
2.084083491158359003e+00,-1.276133088301462837e-16,2.552266176602925675e-16
2.086075142042523201e+00,-1.277352622741618146e-16,2.554705245483236292e-16
2.088067627838270823e+00,-1.278572668417672573e-16,2.557145336835345146e-16
2.090060865054443884e+00,-1.279793174206036502e-16,2.559586348412073003e-16
2.092054778548999572e+00,-1.281014094095478612e-16,2.562028188190957224e-16
2.094049300694099447e+00,-1.282235386675891013e-16,2.564470773351782025e-16
2.096044370624689623e+00,-1.283457014678177241e-16,2.566914029356354482e-16
2.098039933562220849e+00,-1.284678944560149594e-16,2.569357889120299187e-16
2.100035940205998930e+00,-1.285901146133839434e-16,2.571802292267678868e-16
2.102032346185398914e+00,-1.287123592230075013e-16,2.574247184460150025e-16
2.104029111566859012e+00,-1.288346258396601658e-16,2.576692516793203316e-16
2.106026200410173299e+00,-1.289569122626390435e-16,2.579138245252780870e-16
2.108023580369156047e+00,-1.290792165113115181e-16,2.581584330226230361e-16
2.110021222332240320e+00,-1.292015368031082002e-16,2.584030736062164004e-16
2.112019100099016278e+00,-1.293238715337166765e-16,2.586477430674333530e-16
2.114017190089114706e+00,-1.294462192592557923e-16,2.588924385185115845e-16
2.116015471080203270e+00,-1.295685786802324884e-16,2.591371573604649768e-16
2.118013923972183132e+00,-1.296909486271029848e-16,2.593818972542059696e-16
2.120012531574964942e+00,-1.298133280472778988e-16,2.596266560945557977e-16
2.122011278417468727e+00,-1.299357159934267913e-16,2.598714319868535826e-16
2.124010150575721845e+00,-1.300581116129522717e-16,2.601162232259045435e-16
2.126009135518149851e+00,-1.301805141385166912e-16,2.603610282770333823e-16
2.128008221966334990e+00,-1.303029228795161335e-16,2.606058457590322671e-16
2.130007399769701770e+00,-1.304253372144070916e-16,2.608506744288141833e-16
2.132006659792731629e+00,-1.305477565838004336e-16,2.610955131676008671e-16
2.134005993813458346e+00,-1.306701804842459185e-16,2.613403609684918370e-16
2.136005394432112681e+00,-1.307926084626383346e-16,2.615852169252766693e-16
2.138004854988901471e+00,-1.309150401111829642e-16,2.618300802223659284e-16
2.140004369490011271e+00,-1.310374750628646129e-16,2.620749501257292258e-16
2.142003932541010069e+00,-1.311599129873695443e-16,2.623198259747390887e-16
2.144003539286909010e+00,-1.312823535874154771e-16,2.625647071748309542e-16
2.146003185358217991e+00,-1.314047965954482790e-16,2.628095931908965580e-16
2.148002866822396051e+00,-1.315272417706692927e-16,2.630544835413385855e-16
2.150002580140156550e+00,-1.316496888963596675e-16,2.632993777927193350e-16
2.152002322126140843e+00,-1.317721377774724844e-16,2.635442755549449688e-16
2.154002089913526596e+00,-1.318945882384654845e-16,2.637891764769309691e-16
2.156001880922174152e+00,-1.320170401213506840e-16,2.640340802427013681e-16
2.158001692829956575e+00,-1.321394932839388137e-16,2.642789865678776274e-16
2.160001523546960733e+00,-1.322619475982595755e-16,2.645238951965191510e-16
2.162001371192264543e+00,-1.323844029491397704e-16,2.647688058982795408e-16
2.164001234073038127e+00,-1.325068592329234206e-16,2.650137184658468411e-16
2.166001110665734419e+00,-1.326293163563201804e-16,2.652586327126403608e-16
2.168000999599160927e+00,-1.327517742353687243e-16,2.655035484707374485e-16
2.170000899639244807e+00,-1.328742327945038934e-16,2.657484655890077867e-16
2.172000809675320276e+00,-1.329966919657170277e-16,2.659933839314340554e-16
2.174000728707788266e+00,-1.331191516878003110e-16,2.662383033756006220e-16
2.176000655837009301e+00,-1.332416119056667481e-16,2.664832238113334962e-16
2.178000590253308388e+00,-1.333640725697380089e-16,2.667281451394760177e-16
2.180000531227977323e+00,-1.334865336353936060e-16,2.669730672707872119e-16
2.182000478105179386e+00,-1.336089950624751205e-16,2.672179901249502411e-16
2.184000430294661399e+00,-1.337314568148399535e-16,2.674629136296799069e-16
2.186000387265195410e+00,-1.338539188599597951e-16,2.677078377199195902e-16
2.188000348538675865e+00,-1.339763811685591297e-16,2.679527623371182595e-16
2.190000313684808297e+00,-1.340988437142900032e-16,2.681976874285800064e-16
2.192000282316327375e+00,-1.342213064734392567e-16,2.684426129468785134e-16
2.194000254084694568e+00,-1.343437694246650472e-16,2.686875388493300944e-16
2.196000228676225241e+00,-1.344662325487597458e-16,2.689324650975194915e-16
2.198000205808602558e+00,-1.345886958284364270e-16,2.691773916568728540e-16
2.200000185227742211e+00,-1.347111592481369296e-16,2.694223184962738593e-16
2.202000166704968009e+00,-1.348336227938588740e-16,2.696672455877177480e-16
2.204000150034471250e+00,-1.349560864530000839e-16,2.699121729060001678e-16
2.206000135031024101e+00,-1.350785502142186377e-16,2.701571004284372753e-16
2.208000121527921689e+00,-1.352010140673067985e-16,2.704020281346135970e-16
2.210000109375129362e+00,-1.353234780030776401e-16,2.706469560061552803e-16
2.212000098437616469e+00,-1.354459420132628650e-16,2.708918840265257299e-16
2.214000088593854887e+00,-1.355684060904210494e-16,2.711368121808420989e-16
2.216000079734469441e+00,-1.356908702278548631e-16,2.713817404557097262e-16
2.218000071761022429e+00,-1.358133344195367923e-16,2.716266688390735846e-16
2.220000064584920274e+00,-1.359357986600419885e-16,2.718715973200839771e-16
2.222000058126428090e+00,-1.360582629444881423e-16,2.721165258889762847e-16
2.224000052313785059e+00,-1.361807272684811506e-16,2.723614545369623012e-16
2.226000047082406397e+00,-1.363031916280663303e-16,2.726063832561326605e-16
2.228000042374165712e+00,-1.364256560196844643e-16,2.728513120393689285e-16
2.230000038136749296e+00,-1.365481204401322842e-16,2.730962408802645685e-16
2.232000034323074367e+00,-1.366705848865267748e-16,2.733411697730535495e-16
2.234000030890766819e+00,-1.367930493562732984e-16,2.735860987125465968e-16
2.236000027801690049e+00,-1.369155138470366296e-16,2.738310276940732592e-16
2.238000025021520845e+00,-1.370379783567150950e-16,2.740759567134301900e-16
2.240000022519368805e+00,-1.371604428834172034e-16,2.743208857668344068e-16
2.242000020267431726e+00,-1.372829074254405683e-16,2.745658148508811367e-16
2.244000018240688288e+00,-1.374053719812530493e-16,2.748107439625060986e-16
2.246000016416619172e+00,-1.375278365494757668e-16,2.750556730989515335e-16
2.248000014774957034e+00,-1.376503011288676946e-16,2.753006022577353892e-16
2.250000013297461354e+00,-1.377727657183119044e-16,2.755455314366238089e-16
2.252000011967715043e+00,-1.378952303168031655e-16,2.757904606336063311e-16
2.254000010770943252e+00,-1.380176949234367531e-16,2.760353898468735061e-16
2.256000009693848618e+00,-1.381401595373984640e-16,2.762803190747969280e-16
2.258000008724463825e+00,-1.382626241579555205e-16,2.765252483159110409e-16
2.260000007852017490e+00,-1.383850887844483115e-16,2.767701775688966230e-16
2.262000007066815588e+00,-1.385075534162832933e-16,2.770151068325665865e-16
2.264000006360133987e+00,-1.386300180529262590e-16,2.772600361058525180e-16
2.266000005724120303e+00,-1.387524826938963979e-16,2.775049653877927959e-16
2.268000005151708187e+00,-1.388749473387609953e-16,2.777498946775219905e-16
2.270000004636537394e+00,-1.389974119871306248e-16,2.779948239742612497e-16
2.272000004172883614e+00,-1.391198766386547613e-16,2.782397532773095225e-16
2.274000003755594967e+00,-1.392423412930179341e-16,2.784846825860358683e-16
2.276000003380035164e+00,-1.393648059499362521e-16,2.787296118998725043e-16
2.278000003042031540e+00,-1.394872706091542476e-16,2.789745412183084952e-16
2.280000002737828435e+00,-1.396097352704419182e-16,2.792194705408838365e-16
2.282000002464045441e+00,-1.397321999335922620e-16,2.794643998671845241e-16
2.284000002217640990e+00,-1.398546645984190832e-16,2.797093291968381664e-16
2.286000001995876829e+00,-1.399771292647546748e-16,2.799542585295093495e-16
2.288000001796289151e+00,-1.400995939324481918e-16,2.801991878648963836e-16
2.290000001616660175e+00,-1.402220586013638269e-16,2.804441172027276538e-16
