accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.545692886201567085e-04,-1.199522186948852877e-15,9.794841342675546514e+00
-1.545692893988410900e-04,-1.199522186966787236e-15,9.794841342821991148e+00
-1.545692901775254716e-04,-1.199522186984721594e-15,9.794841342968435782e+00
-1.545692909562098260e-04,-1.199522187002655558e-15,9.794841343114878640e+00
-1.545692917348941804e-04,-1.199522187020589916e-15,9.794841343261323274e+00
-1.545692925135785619e-04,-1.199522187038524274e-15,9.794841343407767909e+00
-1.545692932922629434e-04,-1.199522187056458435e-15,9.794841343554214319e+00
-1.545692940709472707e-04,-1.199522187074392793e-15,9.794841343700658953e+00
-1.545692948496316522e-04,-1.199522187092326954e-15,9.794841343847101811e+00
-1.545692956283160066e-04,-1.199522187110261115e-15,9.794841343993546445e+00
-1.545692964070003882e-04,-1.199522187128195474e-15,9.794841344139991079e+00
-1.545692971856847155e-04,-1.199522187146129832e-15,9.794841344286435714e+00
-1.545692979643690699e-04,-1.199522187164063796e-15,9.794841344432878572e+00
-1.545692987430534514e-04,-1.199522187181998154e-15,9.794841344579323206e+00
-1.545692995217378058e-04,-1.199522187199932709e-15,9.794841344725769616e+00
-1.545693003004221602e-04,-1.199522187217866871e-15,9.794841344872214250e+00
-1.545693010791065146e-04,-1.199522187235801032e-15,9.794841345018657108e+00
-1.545693018577908690e-04,-1.199522187253735390e-15,9.794841345165101743e+00
-1.545693026364751963e-04,-1.199522187271669354e-15,9.794841345311544600e+00
-1.545693034151595507e-04,-1.199522187289603909e-15,9.794841345457991011e+00
-1.545693041938439052e-04,-1.199522187307538267e-15,9.794841345604435645e+00
-1.545693049725282325e-04,-1.199522187325472231e-15,9.794841345750878503e+00
-1.545693057512125598e-04,-1.199522187343406589e-15,9.794841345897323137e+00
-1.545693065298968871e-04,-1.199522187361340948e-15,9.794841346043767771e+00
-1.545693073085812415e-04,-1.199522187379275109e-15,9.794841346190212406e+00
-1.545693080872655959e-04,-1.199522187397209467e-15,9.794841346336657040e+00
-1.545693088659498961e-04,-1.199522187415143431e-15,9.794841346483099898e+00
-1.545693096446342505e-04,-1.199522187433077789e-15,9.794841346629544532e+00
-1.545693104233185507e-04,-1.199522187451012147e-15,9.794841346775989166e+00
-1.545693112020029051e-04,-1.199522187468946506e-15,9.794841346922433800e+00
-1.545693119806872324e-04,-1.199522187486880469e-15,9.794841347068876658e+00
-1.545693127593715597e-04,-1.199522187504814828e-15,9.794841347215321292e+00
-1.545693135380558870e-04,-1.199522187522749383e-15,9.794841347361767703e+00
-1.545693143167401872e-04,-1.199522187540683544e-15,9.794841347508212337e+00
-1.545693150954245416e-04,-1.199522187558617705e-15,9.794841347654655195e+00
-1.545693158741088418e-04,-1.199522187576551866e-15,9.794841347801099829e+00
-1.545693166527931691e-04,-1.199522187594486027e-15,9.794841347947542687e+00
-1.545693174314774693e-04,-1.199522187612420583e-15,9.794841348093989097e+00
-1.545693182101617966e-04,-1.199522187630354546e-15,9.794841348240431955e+00
-1.545693189888460968e-04,-1.199522187648288905e-15,9.794841348386876589e+00
-1.545693197675304241e-04,-1.199522187666223066e-15,9.794841348533319447e+00
-1.545693205462147243e-04,-1.199522187684157818e-15,9.794841348679767634e+00
-1.545693213248990245e-04,-1.199522187702091782e-15,9.794841348826210492e+00
-1.545693221035833518e-04,-1.199522187720026140e-15,9.794841348972655126e+00
-1.545693228822676520e-04,-1.199522187737960104e-15,9.794841349119097984e+00
-1.545693236609519794e-04,-1.199522187755894660e-15,9.794841349265544395e+00
-1.545693244396362524e-04,-1.199522187773828821e-15,9.794841349411987252e+00
-1.545693252183205797e-04,-1.199522187791762982e-15,9.794841349558431887e+00
-1.545693259970048528e-04,-1.199522187809697143e-15,9.794841349704874744e+00
-1.545693267756891530e-04,-1.199522187827631304e-15,9.794841349851317602e+00
-1.545693275543734803e-04,-1.199522187845565859e-15,9.794841349997765789e+00
-1.545693283330577534e-04,-1.199522187863500020e-15,9.794841350144208647e+00
-1.545693291117420265e-04,-1.199522187881434379e-15,9.794841350290653281e+00
-1.545693298904263538e-04,-1.199522187899368342e-15,9.794841350437096139e+00
-1.545693306691106269e-04,-1.199522187917302898e-15,9.794841350583542550e+00
-1.545693314477949000e-04,-1.199522187935237059e-15,9.794841350729985407e+00
-1.545693322264792273e-04,-1.199522187953171220e-15,9.794841350876430042e+00
-1.545693330051635004e-04,-1.199522187971105381e-15,9.794841351022872900e+00
-1.545693337838477735e-04,-1.199522187989039739e-15,9.794841351169317534e+00
-1.545693345625320737e-04,-1.199522188006974098e-15,9.794841351315763944e+00
-1.545693353412163468e-04,-1.199522188024908456e-15,9.794841351462208578e+00
-1.545693361199006199e-04,-1.199522188042842814e-15,9.794841351608653213e+00
-1.545693368985848930e-04,-1.199522188060776778e-15,9.794841351755096071e+00
-1.545693376772691932e-04,-1.199522188078711333e-15,9.794841351901542481e+00
-1.545693384559534663e-04,-1.199522188096645494e-15,9.794841352047985339e+00
-1.545693392346377123e-04,-1.199522188114579655e-15,9.794841352194429973e+00
-1.545693400133219854e-04,-1.199522188132513816e-15,9.794841352340872831e+00
-1.545693407920062856e-04,-1.199522188150448569e-15,9.794841352487321018e+00
-1.545693415706905587e-04,-1.199522188168382533e-15,9.794841352633763876e+00
-1.545693423493748047e-04,-1.199522188186316891e-15,9.794841352780208510e+00
-1.545693431280590778e-04,-1.199522188204251052e-15,9.794841352926651368e+00
-1.545693439067433238e-04,-1.199522188222185016e-15,9.794841353073094226e+00
-1.545693446854275969e-04,-1.199522188240119572e-15,9.794841353219540636e+00
-1.545693454641118699e-04,-1.199522188258053930e-15,9.794841353365985270e+00
-1.545693462427961159e-04,-1.199522188275987894e-15,9.794841353512428128e+00
-1.545693470214803890e-04,-1.199522188293922055e-15,9.794841353658870986e+00
-1.545693478001646350e-04,-1.199522188311856807e-15,9.794841353805319173e+00
-1.545693485788488810e-04,-1.199522188329790771e-15,9.794841353951762031e+00
