ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200000180364103386e+01,1.199999999999999858e+02,-2.449293598294706846e-17,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200000360728207482e+01,1.199999999999999858e+02,-4.898587196589413692e-17,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200000541092310868e+01,1.199999999999999858e+02,-7.347880794884116531e-17,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200000721456414965e+01,1.199999999999999858e+02,-9.797174393178817522e-17,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200000901820518351e+01,1.199999999999999858e+02,-1.224646799147351975e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200001082184621737e+01,1.199999999999999858e+02,-1.469576158976822074e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200001262548725123e+01,1.199999999999999858e+02,-1.714505518806292173e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200001442912828509e+01,1.199999999999999858e+02,-1.959434878635762272e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200001623276931895e+01,1.199999999999999858e+02,-2.204364238465232371e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200001803641035281e+01,1.199999999999999858e+02,-2.449293598294702470e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200001984005138667e+01,1.199999999999999858e+02,-2.694222958124172569e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200002164369242053e+01,1.199999999999999858e+02,-2.939152317953642668e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200002344733344728e+01,1.199999999999999858e+02,-3.184081677783112767e-16,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
