ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000018036410410e+01,1.199999999999999858e+02,-2.449293598294706384e-18
3.200000036072820819e+01,1.199999999999999858e+02,-4.898587196589412767e-18
3.200000054109231229e+01,1.199999999999999858e+02,-7.347880794884118380e-18
3.200000072145641639e+01,1.199999999999999858e+02,-9.797174393178825534e-18
3.200000090182052048e+01,1.199999999999999858e+02,-1.224646799147353269e-17
3.200000108218462458e+01,1.199999999999999858e+02,-1.469576158976823984e-17
3.200000126254872157e+01,1.199999999999999858e+02,-1.714505518806294700e-17
3.200000144291282567e+01,1.199999999999999858e+02,-1.959434878635765415e-17
3.200000162327692976e+01,1.199999999999999858e+02,-2.204364238465236130e-17
3.200000180364103386e+01,1.199999999999999858e+02,-2.449293598294706846e-17
3.200000198400513796e+01,1.199999999999999858e+02,-2.694222958124177561e-17
3.200000216436924205e+01,1.199999999999999858e+02,-2.939152317953647968e-17
3.200000234473335325e+01,1.199999999999999858e+02,-3.184081677783118684e-17
3.200000252509745735e+01,1.199999999999999858e+02,-3.429011037612589399e-17
3.200000270546156145e+01,1.199999999999999858e+02,-3.673940397442060115e-17
3.200000288582566554e+01,1.199999999999999858e+02,-3.918869757271530830e-17
3.200000306618976964e+01,1.199999999999999858e+02,-4.163799117101001545e-17
3.200000324655386663e+01,1.199999999999999858e+02,-4.408728476930472261e-17
3.200000342691797073e+01,1.199999999999999858e+02,-4.653657836759942976e-17
3.200000360728207482e+01,1.199999999999999858e+02,-4.898587196589413692e-17
3.200000378764617892e+01,1.199999999999999858e+02,-5.143516556418884407e-17
3.200000396801028302e+01,1.199999999999999858e+02,-5.388445916248355122e-17
3.200000414837438711e+01,1.199999999999999858e+02,-5.633375276077825838e-17
3.200000432873849121e+01,1.199999999999999858e+02,-5.878304635907295937e-17
3.200000450910259531e+01,1.199999999999999858e+02,-6.123233995736766036e-17
3.200000468946669940e+01,1.199999999999999858e+02,-6.368163355566236135e-17
3.200000486983080350e+01,1.199999999999999858e+02,-6.613092715395706234e-17
3.200000505019490760e+01,1.199999999999999858e+02,-6.858022075225176333e-17
3.200000523055900459e+01,1.199999999999999858e+02,-7.102951435054646432e-17
3.200000541092310868e+01,1.199999999999999858e+02,-7.347880794884116531e-17
3.200000559128721278e+01,1.199999999999999858e+02,-7.592810154713586630e-17
3.200000577165131688e+01,1.199999999999999858e+02,-7.837739514543056730e-17
3.200000595201542097e+01,1.199999999999999858e+02,-8.082668874372526829e-17
3.200000613237952507e+01,1.199999999999999858e+02,-8.327598234201996928e-17
3.200000631274362917e+01,1.199999999999999858e+02,-8.572527594031467027e-17
3.200000649310773326e+01,1.199999999999999858e+02,-8.817456953860937126e-17
3.200000667347183736e+01,1.199999999999999858e+02,-9.062386313690407225e-17
3.200000685383594146e+01,1.199999999999999858e+02,-9.307315673519877324e-17
3.200000703420004555e+01,1.199999999999999858e+02,-9.552245033349347423e-17
3.200000721456414965e+01,1.199999999999999858e+02,-9.797174393178817522e-17
3.200000739492824664e+01,1.199999999999999858e+02,-1.004210375300828762e-16
3.200000757529235074e+01,1.199999999999999858e+02,-1.028703311283775772e-16
3.200000775565645483e+01,1.199999999999999858e+02,-1.053196247266722782e-16
3.200000793602055893e+01,1.199999999999999858e+02,-1.077689183249669792e-16
3.200000811638466303e+01,1.199999999999999858e+02,-1.102182119232616802e-16
3.200000829674876712e+01,1.199999999999999858e+02,-1.126675055215563935e-16
3.200000847711287122e+01,1.199999999999999858e+02,-1.151167991198510945e-16
3.200000865747697532e+01,1.199999999999999858e+02,-1.175660927181457955e-16
3.200000883784107941e+01,1.199999999999999858e+02,-1.200153863164404965e-16
3.200000901820518351e+01,1.199999999999999858e+02,-1.224646799147351975e-16
3.200000919856928761e+01,1.199999999999999858e+02,-1.249139735130298984e-16
3.200000937893339170e+01,1.199999999999999858e+02,-1.273632671113245994e-16
3.200000955929748869e+01,1.199999999999999858e+02,-1.298125607096193004e-16
3.200000973966159279e+01,1.199999999999999858e+02,-1.322618543079140014e-16
3.200000992002569689e+01,1.199999999999999858e+02,-1.347111479062087024e-16
3.200001010038980098e+01,1.199999999999999858e+02,-1.371604415045034034e-16
3.200001028075390508e+01,1.199999999999999858e+02,-1.396097351027981044e-16
3.200001046111800918e+01,1.199999999999999858e+02,-1.420590287010928054e-16
3.200001064148211327e+01,1.199999999999999858e+02,-1.445083222993875064e-16
3.200001082184621737e+01,1.199999999999999858e+02,-1.469576158976822074e-16
3.200001100221032146e+01,1.199999999999999858e+02,-1.494069094959769084e-16
3.200001118257442556e+01,1.199999999999999858e+02,-1.518562030942716093e-16
3.200001136293852966e+01,1.199999999999999858e+02,-1.543054966925663103e-16
3.200001154330262665e+01,1.199999999999999858e+02,-1.567547902908610113e-16
3.200001172366673075e+01,1.199999999999999858e+02,-1.592040838891557123e-16
3.200001190403083484e+01,1.199999999999999858e+02,-1.616533774874504133e-16
3.200001208439493894e+01,1.199999999999999858e+02,-1.641026710857451143e-16
3.200001226475904303e+01,1.199999999999999858e+02,-1.665519646840398153e-16
3.200001244512314713e+01,1.199999999999999858e+02,-1.690012582823345163e-16
3.200001262548725123e+01,1.199999999999999858e+02,-1.714505518806292173e-16
3.200001280585135532e+01,1.199999999999999858e+02,-1.738998454789239183e-16
3.200001298621545942e+01,1.199999999999999858e+02,-1.763491390772186193e-16
3.200001316657956352e+01,1.199999999999999858e+02,-1.787984326755133202e-16
3.200001334694366761e+01,1.199999999999999858e+02,-1.812477262738080212e-16
3.200001352730777171e+01,1.199999999999999858e+02,-1.836970198721027222e-16
3.200001370767186870e+01,1.199999999999999858e+02,-1.861463134703974232e-16
3.200001388803597280e+01,1.199999999999999858e+02,-1.885956070686921242e-16
3.200001406840007689e+01,1.199999999999999858e+02,-1.910449006669868252e-16
3.200001424876418099e+01,1.199999999999999858e+02,-1.934941942652815262e-16
3.200001442912828509e+01,1.199999999999999858e+02,-1.959434878635762272e-16
3.200001460949238918e+01,1.199999999999999858e+02,-1.983927814618709282e-16
3.200001478985649328e+01,1.199999999999999858e+02,-2.008420750601656292e-16
3.200001497022059738e+01,1.199999999999999858e+02,-2.032913686584603302e-16
3.200001515058470147e+01,1.199999999999999858e+02,-2.057406622567550311e-16
3.200001533094880557e+01,1.199999999999999858e+02,-2.081899558550497321e-16
3.200001551131290967e+01,1.199999999999999858e+02,-2.106392494533444331e-16
3.200001569167701376e+01,1.199999999999999858e+02,-2.130885430516391341e-16
3.200001587204111075e+01,1.199999999999999858e+02,-2.155378366499338351e-16
3.200001605240521485e+01,1.199999999999999858e+02,-2.179871302482285361e-16
