gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200000181592287873e+01,1.199999999999999858e+02,-2.465971990052323247e-17,2.041381059608999404e+00,-1.249985390245096683e-16,2.499970780490193366e-16
3.200000368759649660e+01,1.199999999999999858e+02,-5.007651915023562738e-17,2.120941898913150325e+00,-1.298702353840749376e-16,2.597404707681498753e-16
3.200000563744671211e+01,1.199999999999999858e+02,-7.655493451000243136e-17,2.213815204244768964e+00,-1.355570851891050066e-16,2.711141703782100132e-16
3.200000767329294149e+01,1.199999999999999858e+02,-1.042011513825552186e-16,2.311330279464728576e+00,-1.415281614259418565e-16,2.830563228518837129e-16
3.200000979786162958e+01,1.199999999999999858e+02,-1.330521943284798734e-16,2.410463839768658190e+00,-1.475983412916562933e-16,2.951966825833125865e-16
3.200001201210344703e+01,1.199999999999999858e+02,-1.631209730138067751e-16,2.510161730926991464e+00,-1.537030764560959770e-16,3.074061529121919539e-16
3.200001431634986915e+01,1.199999999999999858e+02,-1.944119887607497331e-16,2.610056392087339194e+00,-1.598198603081924518e-16,3.196397206163849036e-16
3.200001671071646570e+01,1.199999999999999858e+02,-2.269268110833165540e-16,2.710019662705047683e+00,-1.659408452779063156e-16,3.318816905558126312e-16
3.200001919524353156e+01,1.199999999999999858e+02,-2.606659872372032524e-16,2.810006855961324490e+00,-1.720632950867576925e-16,3.441265901735153849e-16
3.200002176994513547e+01,1.199999999999999858e+02,-2.956297080386721772e-16,2.910002390525899596e+00,-1.781862556534344430e-16,3.563725113068688861e-16
3.200002443482615888e+01,1.199999999999999858e+02,-3.318180400212401231e-16,3.010000833524841823e+00,-1.843093943103531365e-16,3.686187886207062731e-16
3.200002718988832129e+01,1.199999999999999858e+02,-3.692310063837098061e-16,3.110000290632141784e+00,-1.904325950634995274e-16,3.808651901269990549e-16
3.200003003513221955e+01,1.199999999999999858e+02,-4.078686152150037065e-16,3.210000101337162626e+00,-1.965558174682617806e-16,3.931116349365235613e-16
3.200003297055805263e+01,1.199999999999999858e+02,-4.477308693355547078e-16,3.310000035334084156e+00,-2.026790474224756026e-16,4.053580948449512051e-16
3.200003599616589867e+01,1.199999999999999858e+02,-4.888177697287867911e-16,3.410000012320233420e+00,-2.088022800090204464e-16,4.176045600180408929e-16
3.200003911195577899e+01,1.199999999999999858e+02,-5.311293167375986127e-16,3.510000004295800391e+00,-2.149255135134023898e-16,4.298510270268047795e-16
3.200004231792770781e+01,1.199999999999999858e+02,-5.746655104815519036e-16,3.610000001497853273e+00,-2.210487473378143062e-16,4.420974946756286124e-16
3.200004561408167802e+01,1.199999999999999858e+02,-6.194263510023350043e-16,3.710000000522269747e+00,-2.271719812738138271e-16,4.543439625476276541e-16
3.200004900041770384e+01,1.199999999999999858e+02,-6.654118383144839591e-16,3.810000000182105051e+00,-2.332952152487215209e-16,4.665904304974430417e-16
3.200005247693577104e+01,1.199999999999999858e+02,-7.126219724230670019e-16,3.910000000063496461e+00,-2.394184492371956008e-16,4.788368984743912015e-16
3.200005604363590095e+01,1.199999999999999858e+02,-7.610567533298514770e-16,4.010000000022141187e+00,-2.455416832304000851e-16,4.910833664608001702e-16
3.200005970051807225e+01,1.199999999999999858e+02,-8.107161810354532875e-16,4.110000000007722143e+00,-2.516649172252539296e-16,5.033298344505078593e-16
3.200006344758228494e+01,1.199999999999999858e+02,-8.616002555400874968e-16,4.210000000002694698e+00,-2.577881512206828538e-16,5.155763024413657076e-16
3.200006728482855323e+01,1.199999999999999858e+02,-9.137089768438290465e-16,4.310000000000940190e+00,-2.639113852163121979e-16,5.278227704326243959e-16
3.200007121225687712e+01,1.199999999999999858e+02,-9.670423449467041663e-16,4.410000000000329656e+00,-2.700346192120115535e-16,5.400692384240231070e-16
3.200007522986724240e+01,1.199999999999999858e+02,-1.021600359848721534e-15,4.510000000000115250e+00,-2.761578532077352158e-16,5.523157064154704316e-16
3.200007933765964907e+01,1.199999999999999858e+02,-1.077383021549884501e-15,4.610000000000041176e+00,-2.822810872034674570e-16,5.645621744069349139e-16
3.200008353563411134e+01,1.199999999999999858e+02,-1.134390330050193858e-15,4.710000000000015952e+00,-2.884043211992026564e-16,5.768086423984053128e-16
3.200008782379062211e+01,1.199999999999999858e+02,-1.192622285349650787e-15,4.810000000000006715e+00,-2.945275551949388419e-16,5.890551103898776837e-16
3.200009220212918137e+01,1.199999999999999858e+02,-1.252078887448254894e-15,4.910000000000004583e+00,-3.006507891906754711e-16,6.013015783813509422e-16
3.200009667064978913e+01,1.199999999999999858e+02,-1.312760136346006178e-15,5.010000000000002451e+00,-3.067740231864121496e-16,6.135480463728242992e-16
3.200010122935243828e+01,1.199999999999999858e+02,-1.374666032042905036e-15,5.110000000000000320e+00,-3.128972571821487788e-16,6.257945143642975576e-16
3.200010587823713593e+01,1.199999999999999858e+02,-1.437796574538951071e-15,5.209999999999998188e+00,-3.190204911778854080e-16,6.380409823557708161e-16
3.200011061730388207e+01,1.199999999999999858e+02,-1.502151763834144284e-15,5.309999999999996056e+00,-3.251437251736220373e-16,6.502874503472440745e-16
3.200011544655267670e+01,1.199999999999999858e+02,-1.567731599928485069e-15,5.409999999999993925e+00,-3.312669591693586665e-16,6.625339183387173330e-16
3.200012036598351273e+01,1.199999999999999858e+02,-1.634536082821973230e-15,5.509999999999991793e+00,-3.373901931650952957e-16,6.747803863301905914e-16
3.200012537559639725e+01,1.199999999999999858e+02,-1.702565212514608568e-15,5.609999999999989662e+00,-3.435134271608319249e-16,6.870268543216638498e-16
3.200013047539133026e+01,1.199999999999999858e+02,-1.771818989006391282e-15,5.709999999999987530e+00,-3.496366611565685541e-16,6.992733223131371083e-16
3.200013566536830467e+01,1.199999999999999858e+02,-1.842297412297321568e-15,5.809999999999985398e+00,-3.557598951523052327e-16,7.115197903046104653e-16
3.200014094552732757e+01,1.199999999999999858e+02,-1.914000482387398638e-15,5.909999999999983267e+00,-3.618831291480418619e-16,7.237662582960837237e-16
3.200014631586839897e+01,1.199999999999999858e+02,-1.986928199276623280e-15,6.009999999999981135e+00,-3.680063631437784911e-16,7.360127262875569822e-16
3.200015177639150465e+01,1.199999999999999858e+02,-2.061080562964995494e-15,6.109999999999979003e+00,-3.741295971395151203e-16,7.482591942790302406e-16
3.200015732709667304e+01,1.199999999999999858e+02,-2.136457573452514492e-15,6.209999999999976872e+00,-3.802528311352517495e-16,7.605056622705034990e-16
3.200016296798386861e+01,1.199999999999999858e+02,-2.213059230739181062e-15,6.309999999999974740e+00,-3.863760651309883787e-16,7.727521302619767575e-16
3.200016869905311978e+01,1.199999999999999858e+02,-2.290885534824995204e-15,6.409999999999972609e+00,-3.924992991267250080e-16,7.849985982534500159e-16
