ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
-1.545692886201567085e-04,9.999999999999878431e-02,9.794841342675546514e+00
-1.546465740435404952e-04,1.899999999999987532e-01,9.794841342192244227e+00
-1.547934156486727815e-04,2.709999999999986864e-01,9.794841341141376390e+00
-1.550028578188646924e-04,3.438999999999986512e-01,9.794841339578214345e+00
-1.552686404990681352e-04,4.095099999999986529e-01,9.794841337551977389e+00
-1.555851296397157328e-04,4.685589999999986710e-01,9.794841335106546865e+00
-1.559472545961763652e-04,5.217030999999986429e-01,9.794841332281114532e+00
-1.563504517882647368e-04,5.695327899999985677e-01,9.794841329110711925e+00
-1.567906139937992930e-04,6.125795109999986332e-01,9.794841325626697071e+00
-1.572640447128043181e-04,6.513215598999986256e-01,9.794841321857179040e+00
-1.577674170952913385e-04,6.861894039099986076e-01,9.794841317827357230e+00
-1.582977369762621949e-04,7.175704635189986691e-01,9.794841313559857099e+00
-1.588523096072115483e-04,7.458134171670987023e-01,9.794841309075003721e+00
-1.594287097144791673e-04,7.712320754503887432e-01,9.794841304391079362e+00
-1.600247545517662680e-04,7.941088679053497357e-01,9.794841299524517098e+00
-1.606384796474007929e-04,8.146979811148146178e-01,9.794841294490121086e+00
-1.612681169768755618e-04,8.332281830033330117e-01,9.794841289301214005e+00
-1.619120753181325673e-04,8.499053647029995995e-01,9.794841283969809353e+00
-1.625689225713189065e-04,8.649148282326994952e-01,9.794841278506732252e+00
-1.632373698465669693e-04,8.784233454094294569e-01,9.794841272921745556e+00
-1.639162571429962753e-04,8.905810108684864002e-01,9.794841267223654668e+00
-1.646045404598157067e-04,9.015229097816376269e-01,9.794841261420403455e+00
-1.653012801963145504e-04,9.113706188034736977e-01,9.794841255519168399e+00
-1.660056307118554036e-04,9.202335569231262502e-01,9.794841249526424320e+00
-1.667168309298666553e-04,9.282102012308135475e-01,9.794841243448015433e+00
-1.674341958814368539e-04,9.353891811077320595e-01,9.794841237289221070e+00
-1.681571090945486037e-04,9.418502629969587314e-01,9.794841231054817854e+00
-1.688850157443894551e-04,9.476652366972627695e-01,9.794841224749109898e+00
-1.696174164886318032e-04,9.528987130275363704e-01,9.794841218375990977e+00
-1.703538619191846118e-04,9.576088417247825557e-01,9.794841211938985381e+00
-1.710939475687698512e-04,9.618479575523041225e-01,9.794841205441265686e+00
-1.718373094168414205e-04,9.656631617970735659e-01,9.794841198885713140e+00
-1.725836198449122926e-04,9.690968456173660872e-01,9.794841192274917674e+00
-1.733325839963483774e-04,9.721871610556293009e-01,9.794841185611238288e+00
-1.740839365001838046e-04,9.749684449500662931e-01,9.794841178896788847e+00
-1.748374385225538068e-04,9.774716004550595416e-01,9.794841172133491369e+00
-1.755928751129851105e-04,9.797244404095534209e-01,9.794841165323079579e+00
-1.763500528160564639e-04,9.817519963685980011e-01,9.794841158467127329e+00
-1.771087975218939693e-04,9.835767967317380345e-01,9.794841151567048598e+00
-1.778689525316161086e-04,9.852191170585641311e-01,9.794841144624129470e+00
-1.786303768162346710e-04,9.866972053527075515e-01,9.794841137639522799e+00
-1.793929434496655114e-04,9.880274848174366298e-01,9.794841130614283742e+00
-1.801565381984380739e-04,9.892247363356928558e-01,9.794841123549360873e+00
-1.809210582524343547e-04,9.903022627021234037e-01,9.794841116445603291e+00
