q0 (),q1,q2,q3
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
