ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-1.803641037695666798e-05,3.543207813446885412e-03,2.214041970068620843e-03
-1.804542858163148876e-05,3.543207806477197564e-03,2.214041981222453041e-03
-1.806256317097470590e-05,3.543207799504024657e-03,2.214041992381861942e-03
-1.808700250651850295e-05,3.543207792524230744e-03,2.214042003551866967e-03
-1.811801611364186241e-05,3.543207785534992996e-03,2.214042014736985337e-03
-1.815494656518587869e-05,3.543207778533770478e-03,2.214042025941283243e-03
-1.819720217670754724e-05,3.543207771518277691e-03,2.214042037168418350e-03
-1.824425043220820127e-05,3.543207764486455517e-03,2.214042048421684897e-03
-1.829561206728901659e-05,3.543207757436453009e-03,2.214042059704046227e-03
-1.835085574399107514e-05,3.543207750366603528e-03,2.214042071018169910e-03
-1.840959325815136796e-05,3.543207743275406975e-03,2.214042082366457238e-03
-1.847147522602316530e-05,3.543207736161511565e-03,2.214042093751067940e-03
-1.853618720223444732e-05,3.543207729023703859e-03,2.214042105173946208e-03
-1.860344618595037412e-05,3.543207721860890547e-03,2.214042116636843246e-03
-1.867299747641960439e-05,3.543207714672087175e-03,2.214042128141333748e-03
-1.874461184296592888e-05,3.543207707456406865e-03,2.214042139688834551e-03
-1.881808297798076744e-05,3.543207700213052511e-03,2.214042151280622844e-03
-1.889322520461639621e-05,3.543207692941307673e-03,2.214042162917845714e-03
-1.896987141370985153e-05,3.543207685640525732e-03,2.214042174601537055e-03
-1.904787120701448473e-05,3.543207678310126858e-03,2.214042186332627112e-03
-1.912708922610830491e-05,3.543207670949586729e-03,2.214042198111952457e-03
-1.920740364841151720e-05,3.543207663558433935e-03,2.214042209940267261e-03
-1.928870483360230621e-05,3.543207656136246071e-03,2.214042221818248064e-03
-1.937089410539103235e-05,3.543207648682641930e-03,2.214042233746507226e-03
-1.945388265511703419e-05,3.543207641197277172e-03,2.214042245725591617e-03
-1.953759055498569073e-05,3.543207633679845182e-03,2.214042257755996935e-03
-1.962194586998186404e-05,3.543207626130064937e-03,2.214042269838168136e-03
-1.970688385859191408e-05,3.543207618547688370e-03,2.214042281972505074e-03
-1.979234625345356854e-05,3.543207610932489534e-03,2.214042294159367270e-03
-1.987828061394076708e-05,3.543207603284266333e-03,2.214042306399080853e-03
-1.996463974349007642e-05,3.543207595602836189e-03,2.214042318691936823e-03
