ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
2.000999999999999890e+00,-1.225259122546926698e-16,2.450518245093853395e-16
2.002899999999999903e+00,-1.226422537006116822e-16,2.452845074012233645e-16
2.005609999999999893e+00,-1.228081933418961450e-16,2.456163866837922899e-16
2.009049000000000085e+00,-1.230187713590095573e-16,2.460375427180191146e-16
2.013144099999999881e+00,-1.232695239143689478e-16,2.465390478287378957e-16
2.017829689999999676e+00,-1.235564335541497804e-16,2.471128671082995608e-16
2.023046720999999604e+00,-1.238758845699099083e-16,2.477517691398198167e-16
2.028742048899999428e+00,-1.242246228240513701e-16,2.484492456481027401e-16
2.034867844009999427e+00,-1.245997195927360815e-16,2.491994391854721629e-16
2.041381059608999404e+00,-1.249985390245096683e-16,2.499970780490193366e-16
2.048242953648099274e+00,-1.254187088530632578e-16,2.508374177061265157e-16
2.055418658283289179e+00,-1.258580940387188621e-16,2.517161880774377242e-16
2.062876792454960029e+00,-1.263147730457662722e-16,2.526295460915325445e-16
2.070589113209464038e+00,-1.267870164920663372e-16,2.535740329841326744e-16
2.078530201888517670e+00,-1.272732679336937595e-16,2.545465358673875191e-16
2.086677181699665873e+00,-1.277721265711157813e-16,2.555442531422315625e-16
2.095009463529699190e+00,-1.282823316847529893e-16,2.565646633695059786e-16
2.103508517176729153e+00,-1.288027486269838379e-16,2.576054972539676757e-16
2.112157665459056144e+00,-1.293323562149489556e-16,2.586647124298979111e-16
2.120941898913150325e+00,-1.298702353840749376e-16,2.597404707681498753e-16
2.129847709021835289e+00,-1.304155589762456952e-16,2.608311179524913904e-16
2.138862938119651780e+00,-1.309675825491567359e-16,2.619351650983134718e-16
2.147976644307686644e+00,-1.315256361047340610e-16,2.630512722094681220e-16
2.157178979876917868e+00,-1.320891166447109953e-16,2.641782332894219905e-16
2.166461081889226037e+00,-1.326574814706476295e-16,2.653149629412952590e-16
2.175814973700303412e+00,-1.332302421539479493e-16,2.664604843078958986e-16
2.185233476330273206e+00,-1.338069591088756330e-16,2.676139182177512661e-16
2.194710128697245910e+00,-1.343872367082678925e-16,2.687744734165357850e-16
2.204239115827521189e+00,-1.349707188876782874e-16,2.699414377753565748e-16
2.213815204244768964e+00,-1.355570851891050066e-16,2.711141703782100132e-16
2.223433683820291940e+00,-1.361460472003464276e-16,2.722920944006928552e-16
2.233090315438262863e+00,-1.367373453504210999e-16,2.734746907008421997e-16
2.242781283894436317e+00,-1.373307460254456343e-16,2.746614920508912685e-16
2.252503155504992804e+00,-1.379260389729251185e-16,2.758520779458502369e-16
2.262252839954493666e+00,-1.385230349656139984e-16,2.770460699312279967e-16
2.272027555959044154e+00,-1.391215636989913615e-16,2.782431273979827230e-16
2.281824800363139616e+00,-1.397214718989883595e-16,2.794429437979767190e-16
2.291642320326825466e+00,-1.403226216189430240e-16,2.806452432378860481e-16
2.301478088294143021e+00,-1.409248887068596007e-16,2.818497774137192015e-16
2.311330279464728576e+00,-1.415281614259418565e-16,2.830563228518837129e-16
2.321197251518255733e+00,-1.421323392130732850e-16,2.842646784261465699e-16
2.331077526366430064e+00,-1.427373315614489320e-16,2.854746631228978640e-16
2.340969773729787207e+00,-1.433430570149443880e-16,2.866861140298887760e-16
2.350872796356808347e+00,-1.439494422630476351e-16,2.878988845260952702e-16
2.360785516721127575e+00,-1.445564213262979657e-16,2.891128426525959314e-16
2.370706965049014681e+00,-1.451639348231806073e-16,2.903278696463612147e-16
2.380636268544113143e+00,-1.457719293103323363e-16,2.915438586206646726e-16
2.390572641689701960e+00,-1.463803566887263080e-16,2.927607133774526160e-16
2.400515377520731519e+00,-1.469891736692381946e-16,2.939783473384763891e-16
2.410463839768658190e+00,-1.475983412916562933e-16,2.951966825833125865e-16
2.420417455791792349e+00,-1.482078244917899385e-16,2.964156489835798771e-16
2.430375710212612894e+00,-1.488175917118675930e-16,2.976351834237351860e-16
2.440338139191351452e+00,-1.494276145498948310e-16,2.988552290997896620e-16
2.450304325272216310e+00,-1.500378674440767460e-16,3.000757348881534921e-16
