accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.159269664651175341e-03,-1.199522186948852877e-15,9.794806557856079010e+00
-1.159269708452170941e-03,-1.199522187083359775e-15,9.794806558954418207e+00
-1.159269752253166107e-03,-1.199522187217866871e-15,9.794806560052760958e+00
-1.159269796054160622e-03,-1.199522187352373571e-15,9.794806561151098379e+00
-1.159269839855154270e-03,-1.199522187486880469e-15,9.794806562249437576e+00
-1.159269883656147268e-03,-1.199522187621387565e-15,9.794806563347778550e+00
-1.159269927457139832e-03,-1.199522187755894660e-15,9.794806564446121300e+00
-1.159269971258131528e-03,-1.199522187890401361e-15,9.794806565544458721e+00
-1.159270015059122574e-03,-1.199522188024908456e-15,9.794806566642799694e+00
-1.159270058860112970e-03,-1.199522188159415354e-15,9.794806567741138892e+00
-1.159270102661102931e-03,-1.199522188293922055e-15,9.794806568839478089e+00
-1.159270146462092026e-03,-1.199522188428429150e-15,9.794806569937819063e+00
-1.159270190263080686e-03,-1.199522188562936245e-15,9.794806571036160037e+00
-1.159270234064068480e-03,-1.199522188697443340e-15,9.794806572134501010e+00
-1.159270277865055839e-03,-1.199522188831950041e-15,9.794806573232840208e+00
-1.159270321666042115e-03,-1.199522188966457136e-15,9.794806574331181181e+00
-1.159270365467027957e-03,-1.199522189100964232e-15,9.794806575429522155e+00
-1.159270409268012931e-03,-1.199522189235471130e-15,9.794806576527861353e+00
-1.159270453068997689e-03,-1.199522189369977830e-15,9.794806577626200550e+00
-1.159270496869981796e-03,-1.199522189504484926e-15,9.794806578724541524e+00
-1.159270540670964819e-03,-1.199522189638992021e-15,9.794806579822882497e+00
-1.159270584471947408e-03,-1.199522189773499116e-15,9.794806580921223471e+00
-1.159270628272929564e-03,-1.199522189908006014e-15,9.794806582019564445e+00
-1.159270672073910635e-03,-1.199522190042512715e-15,9.794806583117901866e+00
-1.159270715874891056e-03,-1.199522190177019810e-15,9.794806584216242840e+00
-1.159270759675871476e-03,-1.199522190311526905e-15,9.794806585314583813e+00
-1.159270803476850596e-03,-1.199522190446033803e-15,9.794806586412924787e+00
-1.159270847277829282e-03,-1.199522190580540899e-15,9.794806587511265761e+00
-1.159270891078807318e-03,-1.199522190715047797e-15,9.794806588609604958e+00
-1.159270934879784486e-03,-1.199522190849555089e-15,9.794806589707947708e+00
-1.159270978680761221e-03,-1.199522190984062184e-15,9.794806590806290458e+00
-1.159271022481737305e-03,-1.199522191118568688e-15,9.794806591904626103e+00
-1.159271066282712521e-03,-1.199522191253075783e-15,9.794806593002967077e+00
-1.159271110083687304e-03,-1.199522191387582878e-15,9.794806594101308050e+00
-1.159271153884661653e-03,-1.199522191522089973e-15,9.794806595199650801e+00
-1.159271197685635135e-03,-1.199522191656597069e-15,9.794806596297991774e+00
-1.159271241486607750e-03,-1.199522191791104164e-15,9.794806597396332748e+00
-1.159271285287579714e-03,-1.199522191925610865e-15,9.794806598494671945e+00
-1.159271329088551244e-03,-1.199522192060117960e-15,9.794806599593012919e+00
-1.159271372889522124e-03,-1.199522192194625055e-15,9.794806600691353893e+00
-1.159271416690492353e-03,-1.199522192329132150e-15,9.794806601789694867e+00
-1.159271460491461498e-03,-1.199522192463639246e-15,9.794806602888037617e+00
-1.159271504292430643e-03,-1.199522192598146341e-15,9.794806603986378590e+00
-1.159271548093398487e-03,-1.199522192732653436e-15,9.794806605084719564e+00
-1.159271591894366115e-03,-1.199522192867160334e-15,9.794806606183058761e+00
-1.159271635695333091e-03,-1.199522193001667232e-15,9.794806607281399735e+00
