ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000135273077717e+01,1.199999999999999858e+02,-1.836970198721030057e-17
3.200000270546156145e+01,1.199999999999999858e+02,-3.673940397442060115e-17
3.200000405819233862e+01,1.199999999999999858e+02,-5.510910596163090172e-17
3.200000541092310868e+01,1.199999999999999858e+02,-7.347880794884120229e-17
3.200000676365388586e+01,1.199999999999999858e+02,-9.184850993605150903e-17
3.200000811638466303e+01,1.199999999999999858e+02,-1.102182119232618158e-16
3.200000946911544020e+01,1.199999999999999858e+02,-1.285879139104721225e-16
3.200001082184621737e+01,1.199999999999999858e+02,-1.469576158976824292e-16
3.200001217457699454e+01,1.199999999999999858e+02,-1.653273178848927360e-16
3.200001352730777171e+01,1.199999999999999858e+02,-1.836970198721030427e-16
3.200001488003854178e+01,1.199999999999999858e+02,-2.020667218593133494e-16
3.200001623276931895e+01,1.199999999999999858e+02,-2.204364238465236562e-16
3.200001758550009612e+01,1.199999999999999858e+02,-2.388061258337339629e-16
3.200001893823087329e+01,1.199999999999999858e+02,-2.571758278209442450e-16
3.200002029096164335e+01,1.199999999999999858e+02,-2.755455298081545271e-16
3.200002164369242053e+01,1.199999999999999858e+02,-2.939152317953648092e-16
3.200002299642319059e+01,1.199999999999999858e+02,-3.122849337825750912e-16
3.200002434915396776e+01,1.199999999999999858e+02,-3.306546357697853733e-16
3.200002570188473783e+01,1.199999999999999858e+02,-3.490243377569956554e-16
3.200002705461550789e+01,1.199999999999999858e+02,-3.673940397442059375e-16
3.200002840734627796e+01,1.199999999999999858e+02,-3.857637417314162196e-16
3.200002976007705513e+01,1.199999999999999858e+02,-4.041334437186265017e-16
3.200003111280782520e+01,1.199999999999999858e+02,-4.225031457058367838e-16
3.200003246553859526e+01,1.199999999999999858e+02,-4.408728476930470658e-16
3.200003381826937243e+01,1.199999999999999858e+02,-4.592425496802573972e-16
3.200003517100014250e+01,1.199999999999999858e+02,-4.776122516674677286e-16
3.200003652373091256e+01,1.199999999999999858e+02,-4.959819536546780600e-16
3.200003787646168263e+01,1.199999999999999858e+02,-5.143516556418883914e-16
3.200003922919245269e+01,1.199999999999999858e+02,-5.327213576290987228e-16
3.200004058192322276e+01,1.199999999999999858e+02,-5.510910596163090542e-16
3.200004193465399283e+01,1.199999999999999858e+02,-5.694607616035193855e-16
3.200004328738476289e+01,1.199999999999999858e+02,-5.878304635907297169e-16
3.200004464011553296e+01,1.199999999999999858e+02,-6.062001655779400483e-16
3.200004599284630302e+01,1.199999999999999858e+02,-6.245698675651503797e-16
3.200004734557707309e+01,1.199999999999999858e+02,-6.429395695523607111e-16
3.200004869830783605e+01,1.199999999999999858e+02,-6.613092715395710425e-16
3.200005005103860611e+01,1.199999999999999858e+02,-6.796789735267813739e-16
3.200005140376937618e+01,1.199999999999999858e+02,-6.980486755139917053e-16
3.200005275650013914e+01,1.199999999999999858e+02,-7.164183775012020367e-16
3.200005410923090921e+01,1.199999999999999858e+02,-7.347880794884123680e-16
3.200005546196167217e+01,1.199999999999999858e+02,-7.531577814756226994e-16
3.200005681469244223e+01,1.199999999999999858e+02,-7.715274834628330308e-16
3.200005816742320519e+01,1.199999999999999858e+02,-7.898971854500433622e-16
3.200005952015397526e+01,1.199999999999999858e+02,-8.082668874372536936e-16
3.200006087288473822e+01,1.199999999999999858e+02,-8.266365894244640250e-16
3.200006222561550118e+01,1.199999999999999858e+02,-8.450062914116743564e-16
3.200006357834627124e+01,1.199999999999999858e+02,-8.633759933988846878e-16
3.200006493107703420e+01,1.199999999999999858e+02,-8.817456953860950191e-16
3.200006628380779716e+01,1.199999999999999858e+02,-9.001153973733053505e-16
3.200006763653856012e+01,1.199999999999999858e+02,-9.184850993605155833e-16
3.200006898926932308e+01,1.199999999999999858e+02,-9.368548013477258161e-16
3.200007034200008604e+01,1.199999999999999858e+02,-9.552245033349360489e-16
3.200007169473084900e+01,1.199999999999999858e+02,-9.735942053221462816e-16
3.200007304746161196e+01,1.199999999999999858e+02,-9.919639073093565144e-16
3.200007440019237492e+01,1.199999999999999858e+02,-1.010333609296566747e-15
3.200007575292313788e+01,1.199999999999999858e+02,-1.028703311283776980e-15
3.200007710565390084e+01,1.199999999999999858e+02,-1.047073013270987213e-15
3.200007845838466380e+01,1.199999999999999858e+02,-1.065442715258197446e-15
3.200007981111542676e+01,1.199999999999999858e+02,-1.083812417245407678e-15
3.200008116384618972e+01,1.199999999999999858e+02,-1.102182119232617911e-15
3.200008251657694558e+01,1.199999999999999858e+02,-1.120551821219828144e-15
3.200008386930770854e+01,1.199999999999999858e+02,-1.138921523207038377e-15
3.200008522203846439e+01,1.199999999999999858e+02,-1.157291225194248609e-15
3.200008657476922735e+01,1.199999999999999858e+02,-1.175660927181458842e-15
3.200008792749998321e+01,1.199999999999999858e+02,-1.194030629168669075e-15
3.200008928023074617e+01,1.199999999999999858e+02,-1.212400331155879308e-15
3.200009063296150913e+01,1.199999999999999858e+02,-1.230770033143089541e-15
3.200009198569226498e+01,1.199999999999999858e+02,-1.249139735130299773e-15
3.200009333842302084e+01,1.199999999999999858e+02,-1.267509437117510006e-15
3.200009469115378380e+01,1.199999999999999858e+02,-1.285879139104720239e-15
3.200009604388453965e+01,1.199999999999999858e+02,-1.304248841091930472e-15
3.200009739661529551e+01,1.199999999999999858e+02,-1.322618543079140704e-15
3.200009874934605847e+01,1.199999999999999858e+02,-1.340988245066350937e-15
