ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
-3.864232215503917442e-04,-1.199522186948852877e-15,9.794838037330711344e+00
-3.864232264171690813e-04,-1.199522186993688576e-15,9.794838037696822042e+00
-3.864232312839464183e-04,-1.199522187038524274e-15,9.794838038062932739e+00
-3.864232361507236469e-04,-1.199522187083359775e-15,9.794838038429043436e+00
-3.864232410175009839e-04,-1.199522187128195474e-15,9.794838038795154134e+00
-3.864232458842782126e-04,-1.199522187173030778e-15,9.794838039161264831e+00
-3.864232507510553870e-04,-1.199522187217866871e-15,9.794838039527379081e+00
-3.864232556178326156e-04,-1.199522187262702372e-15,9.794838039893488002e+00
-3.864232604846097900e-04,-1.199522187307538267e-15,9.794838040259600476e+00
-3.864232653513868560e-04,-1.199522187352373571e-15,9.794838040625709397e+00
-3.864232702181639762e-04,-1.199522187397209467e-15,9.794838040991821870e+00
-3.864232750849410421e-04,-1.199522187442045165e-15,9.794838041357934344e+00
-3.864232799517180539e-04,-1.199522187486880469e-15,9.794838041724043265e+00
-3.864232848184950657e-04,-1.199522187531716562e-15,9.794838042090157515e+00
-3.864232896852720775e-04,-1.199522187576551866e-15,9.794838042456266436e+00
-3.864232945520490892e-04,-1.199522187621387565e-15,9.794838042822377133e+00
-3.864232994188260468e-04,-1.199522187666223066e-15,9.794838043188486054e+00
-3.864233042856030044e-04,-1.199522187711058764e-15,9.794838043554598528e+00
-3.864233091523799619e-04,-1.199522187755894660e-15,9.794838043920712778e+00
-3.864233140191567569e-04,-1.199522187800730161e-15,9.794838044286821699e+00
-3.864233188859337144e-04,-1.199522187845565859e-15,9.794838044652934173e+00
-3.864233237527105094e-04,-1.199522187890401361e-15,9.794838045019043093e+00
-3.864233286194872501e-04,-1.199522187935237059e-15,9.794838045385153791e+00
-3.864233334862640992e-04,-1.199522187980072560e-15,9.794838045751264488e+00
-3.864233383530408942e-04,-1.199522188024908456e-15,9.794838046117378738e+00
-3.864233432198175807e-04,-1.199522188069744154e-15,9.794838046483489435e+00
-3.864233480865942672e-04,-1.199522188114579655e-15,9.794838046849600133e+00
-3.864233529533710079e-04,-1.199522188159415354e-15,9.794838047215710830e+00
-3.864233578201476944e-04,-1.199522188204251052e-15,9.794838047581821527e+00
-3.864233626869243267e-04,-1.199522188249086553e-15,9.794838047947932225e+00
-3.864233675537009590e-04,-1.199522188293922055e-15,9.794838048314042922e+00
-3.864233724204775913e-04,-1.199522188338758147e-15,9.794838048680157172e+00
-3.864233772872541152e-04,-1.199522188383593649e-15,9.794838049046267869e+00
-3.864233821540306391e-04,-1.199522188428429150e-15,9.794838049412376790e+00
-3.864233870208072172e-04,-1.199522188473265045e-15,9.794838049778489264e+00
-3.864233918875836869e-04,-1.199522188518100349e-15,9.794838050144598185e+00
-3.864233967543602107e-04,-1.199522188562936245e-15,9.794838050510710659e+00
-3.864234016211366262e-04,-1.199522188607771746e-15,9.794838050876821356e+00
-3.864234064879130959e-04,-1.199522188652607445e-15,9.794838051242933830e+00
-3.864234113546894571e-04,-1.199522188697443340e-15,9.794838051609046303e+00
-3.864234162214658726e-04,-1.199522188742278841e-15,9.794838051975155224e+00
-3.864234210882421254e-04,-1.199522188787114540e-15,9.794838052341267698e+00
-3.864234259550185409e-04,-1.199522188831950041e-15,9.794838052707376619e+00
