accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.173333275924374225e-02,-1.199522186948852877e-15,9.794841342675546514e+00
7.943244451954417640e-02,-1.199522186966787236e-15,9.794841291014497742e+00
1.133616450217383026e-01,-1.199522186984721594e-15,9.794841192726710943e+00
1.438979253916368162e-01,-1.199522187002655558e-15,9.794841052474902554e+00
1.713805776424694449e-01,-1.199522187020589916e-15,9.794840874455593038e+00
1.961149645861431923e-01,-1.199522187038524274e-15,9.794840662445757573e+00
2.183759127533744515e-01,-1.199522187056458435e-15,9.794840419844829782e+00
2.384107660218084956e-01,-1.199522187074392596e-15,9.794840149712486621e+00
2.564421338813261397e-01,-1.199522187092326560e-15,9.794839854802658508e+00
2.726703648728207030e-01,-1.199522187110260327e-15,9.794839537594118184e+00
2.872757726830965641e-01,-1.199522187128194290e-15,9.794839200318033789e+00
3.004206396302779858e-01,-1.199522187146127860e-15,9.794838844982708181e+00
3.122510198006774873e-01,-1.199522187164061232e-15,9.794838473395911294e+00
3.228983618719763471e-01,-1.199522187181994210e-15,9.794838087184912112e+00
3.324809696540886872e-01,-1.199522187199926990e-15,9.794837687814544225e+00
3.411053165759373451e-01,-1.199522187217859179e-15,9.794837276603439946e+00
3.488672287235533576e-01,-1.199522187235790974e-15,9.794836854738662169e+00
3.558529495743653071e-01,-1.199522187253722176e-15,9.794836423288836968e+00
3.621400982580589845e-01,-1.199522187271652985e-15,9.794835983216021447e+00
3.677985319913524287e-01,-1.199522187289583201e-15,9.794835535386329894e+00
3.728911222692921634e-01,-1.199522187307512432e-15,9.794835080579542108e+00
3.774744534374204208e-01,-1.199522187325440874e-15,9.794834619497724049e+00
3.815994514067255761e-01,-1.199522187343368527e-15,9.794834152772999403e+00
3.853119494970977388e-01,-1.199522187361295194e-15,9.794833680974535994e+00
3.886531976964383572e-01,-1.199522187379220677e-15,9.794833204614837641e+00
3.916603209938590013e-01,-1.199522187397145175e-15,9.794832724155412507e+00
3.943667318795606724e-01,-1.199522187415068686e-15,9.794832240011862368e+00
3.968025015947245770e-01,-1.199522187432991014e-15,9.794831752558476268e+00
3.989946942564141508e-01,-1.199522187450911765e-15,9.794831262132349892e+00
4.009676675699868631e-01,-1.199522187468830937e-15,9.794830769037112361e+00
4.027433434702648030e-01,-1.199522187486748730e-15,9.794830273546269339e+00
4.043414516985884832e-01,-1.199522187504665338e-15,9.794829775906213953e+00
4.057797490221641823e-01,-1.199522187522579778e-15,9.794829276338921531e+00
4.070742165314785721e-01,-1.199522187540492837e-15,9.794828775044415181e+00
4.082392372079695075e-01,-1.199522187558403529e-15,9.794828272202934727e+00
4.092877557349317019e-01,-1.199522187576312841e-15,9.794827767976940436e+00
4.102314223273306193e-01,-1.199522187594220181e-15,9.794827262512862731e+00
4.110807221786356713e-01,-1.199522187612125351e-15,9.794826755942722230e+00
4.118450919629694784e-01,-1.199522187630028550e-15,9.794826248385566814e+00
4.125330246870430595e-01,-1.199522187647928987e-15,9.794825739948759491e+00
4.131521640568963649e-01,-1.199522187665827452e-15,9.794825230729163223e+00
4.137093894079659773e-01,-1.199522187683723748e-15,9.794824720814174768e+00
4.142108921421450152e-01,-1.199522187701617480e-15,9.794824210282678578e+00
4.146622445211377572e-01,-1.199522187719508648e-15,9.794823699205890577e+00
4.150684615804782207e-01,-1.199522187737397055e-15,9.794823187648139751e+00
4.154340568521476262e-01,-1.199522187755282898e-15,9.794822675667543166e+00
4.157630925149293777e-01,-1.199522187773166178e-15,9.794822163316627694e+00
4.160592245297285441e-01,-1.199522187791046302e-15,9.794821650642896671e+00
4.163257432613606257e-01,-1.199522187808923665e-15,9.794821137689325496e+00
4.165656100381593951e-01,-1.199522187826797872e-15,9.794820624494816386e+00
4.167814900556260360e-01,-1.199522187844669319e-15,9.794820111094612258e+00
4.169757819897116358e-01,-1.199522187862537216e-15,9.794819597520643129e+00
4.171506446487728281e-01,-1.199522187880402154e-15,9.794819083801886705e+00
4.173080209603304835e-01,-1.199522187898263148e-15,9.794818569964627741e+00
4.174496595591542514e-01,-1.199522187916121382e-15,9.794818056032774223e+00
4.175771342165369715e-01,-1.199522187933975868e-15,9.794817542028038559e+00
4.176918613266424885e-01,-1.199522187951827198e-15,9.794817027970209367e+00
4.177951156442186176e-01,-1.199522187969674387e-15,9.794816513877304232e+00
4.178880444485388312e-01,-1.199522187987518224e-15,9.794815999765773995e+00
4.179716802909495543e-01,-1.199522188005357919e-15,9.794815485650644860e+00
4.180469524676629356e-01,-1.199522188023193669e-15,9.794814971545665827e+00
4.181146973452704030e-01,-1.199522188041025673e-15,9.794814457463436597e+00
