ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.031740622334582046e-02,-1.199522186948852877e-15,9.794841342675546514e+00
1.974218416283691352e-02,-1.199522186966787236e-15,9.794841329870118685e+00
2.822448428780142266e-02,-1.199522186984721594e-15,9.794841305408002796e+00
3.585855437969202170e-02,-1.199522187002655558e-15,9.794841270454869075e+00
4.272921744181609055e-02,-1.199522187020589916e-15,9.794841226059823214e+00
4.891281417715029334e-02,-1.199522187038524274e-15,9.794841173167059267e+00
5.447805121837363124e-02,-1.199522187056458435e-15,9.794841112626356150e+00
5.948676453489719351e-02,-1.199522187074392793e-15,9.794841045202515417e+00
6.399460649919096189e-02,-1.199522187092326954e-15,9.794840971583862910e+00
6.805166424647796086e-02,-1.199522187110261115e-15,9.794840892389897746e+00
7.170301619845891039e-02,-1.199522187128195474e-15,9.794840808178170377e+00
7.498923293466444595e-02,-1.199522187146129438e-15,9.794840719450480293e+00
7.794682797667214225e-02,-1.199522187164063796e-15,9.794840626658455562e+00
8.060866349390183316e-02,-1.199522187181997957e-15,9.794840530208560381e+00
8.300431543883139696e-02,-1.199522187199932315e-15,9.794840430466624781e+00
8.516040216869093238e-02,-1.199522187217866279e-15,9.794840327761885845e+00
8.710088020498746308e-02,-1.199522187235800440e-15,9.794840222390678974e+00
8.884731041707738530e-02,-1.199522187253734601e-15,9.794840114619699278e+00
9.041909758738145286e-02,-1.199522187271668565e-15,9.794840004688978752e+00
9.183370602007837058e-02,-1.199522187289602529e-15,9.794839892814552584e+00
9.310685358892890895e-02,-1.199522187307536690e-15,9.794839779190855467e+00
9.425268638031787660e-02,-1.199522187325470259e-15,9.794839663992879863e+00
9.528393587199146531e-02,-1.199522187343404223e-15,9.794839547378130007e+00
9.621206039392141141e-02,-1.199522187361338187e-15,9.794839429488359173e+00
9.704737244308214716e-02,-1.199522187379271756e-15,9.794839310451145309e+00
9.779915326675073239e-02,-1.199522187397205523e-15,9.794839190381322780e+00
9.847575598747657089e-02,-1.199522187415138895e-15,9.794839069382234698e+00
9.908469841555406221e-02,-1.199522187433072464e-15,9.794838947546905317e+00
9.963274658024814934e-02,-1.199522187451005836e-15,9.794838824959050783e+00
1.001259899078973531e-01,-1.199522187468939209e-15,9.794838701694025929e+00
1.005699088822063630e-01,-1.199522187486872384e-15,9.794838577819648506e+00
1.009694359385093221e-01,-1.199522187504805558e-15,9.794838453396961242e+00
1.013290102686070226e-01,-1.199522187522738339e-15,9.794838328480903300e+00
1.016526271451201890e-01,-1.199522187540671317e-15,9.794838203120930231e+00
1.019438823134074801e-01,-1.199522187558604492e-15,9.794838077361550432e+00
1.022060119442916026e-01,-1.199522187576536878e-15,9.794837951242822527e+00
1.024419285915131317e-01,-1.199522187594469658e-15,9.794837824800810111e+00
1.026542535534384765e-01,-1.199522187612402044e-15,9.794837698067967224e+00
1.028453459985975288e-01,-1.199522187630334431e-15,9.794837571073511384e+00
1.030173291786671136e-01,-1.199522187648266422e-15,9.794837443843736224e+00
1.031721140201563580e-01,-1.199522187666198414e-15,9.794837316402315253e+00
1.033114203569235889e-01,-1.199522187684130406e-15,9.794837188770555869e+00
1.034367960394411839e-01,-1.199522187702062200e-15,9.794837060967639175e+00
1.035496341331343662e-01,-1.199522187719993600e-15,9.794836933010826030e+00
1.036511883968858072e-01,-1.199522187737925000e-15,9.794836804915663109e+00
1.037425872136899657e-01,-1.199522187755856203e-15,9.794836676696140998e+00
1.038248461282417767e-01,-1.199522187773787406e-15,9.794836548364859397e+00
1.038988791307667581e-01,-1.199522187791718214e-15,9.794836419933153238e+00
1.039655088124678689e-01,-1.199522187809648825e-15,9.794836291411233020e+00
1.040254755054277336e-01,-1.199522187827579436e-15,9.794836162808293167e+00
1.040794455085207876e-01,-1.199522187845509850e-15,9.794836034132609726e+00
1.041280184907339978e-01,-1.199522187863439475e-15,9.794835905391629183e+00
1.041717341541556208e-01,-1.199522187881369889e-15,9.794835776592075050e+00
1.042110782306650968e-01,-1.199522187899299712e-15,9.794835647739979834e+00
1.042464878789539362e-01,-1.199522187917229139e-15,9.794835518840789845e+00
1.042783565418445302e-01,-1.199522187935158173e-15,9.794835389899400724e+00
1.043070383178770211e-01,-1.199522187953087601e-15,9.794835260920239151e+00
1.043328518957375023e-01,-1.199522187971016043e-15,9.794835131907268178e+00
1.043560840952435370e-01,-1.199522187988944879e-15,9.794835002864083151e+00
1.043769930542308572e-01,-1.199522188006872926e-15,9.794834873793904606e+00
1.043958110967516950e-01,-1.199522188024801171e-15,9.794834744699643991e+00
1.044127473144530194e-01,-1.199522188042729021e-15,9.794834615583921433e+00
1.044279898898171216e-01,-1.199522188060656477e-15,9.794834486449101263e+00
1.044417081870781111e-01,-1.199522188078583932e-15,9.794834357297313332e+00
1.044540546340466114e-01,-1.199522188096510994e-15,9.794834228130477882e+00
1.044651664157522641e-01,-1.199522188114437858e-15,9.794834098950328638e+00
1.044751669987216969e-01,-1.199522188132364525e-15,9.794833969758425241e+00
1.044841675028289063e-01,-1.199522188150290600e-15,9.794833840556176341e+00
1.044922679359605033e-01,-1.199522188168216675e-15,9.794833711344857363e+00
1.044995583052144295e-01,-1.199522188186142750e-15,9.794833582125619387e+00
1.045061196169788376e-01,-1.199522188204067839e-15,9.794833452899490922e+00
1.045120247770030819e-01,-1.199522188221992731e-15,9.794833323667415215e+00
1.045173394004615813e-01,-1.199522188239918018e-15,9.794833194430241363e+00
1.045221225410113003e-01,-1.199522188257842515e-15,9.794833065188729648e+00
1.045264273469435484e-01,-1.199522188275766421e-15,9.794832935943574626e+00
1.045303016517204614e-01,-1.199522188293690524e-15,9.794832806695405125e+00
1.045337885054580390e-01,-1.199522188311613641e-15,9.794832677444782476e+00
1.045369266532605868e-01,-1.199522188329537152e-15,9.794832548192234256e+00
1.045397509657220864e-01,-1.199522188347459875e-15,9.794832418938213436e+00
1.045422928263770590e-01,-1.199522188365382203e-15,9.794832289683149895e+00
1.045445804804066153e-01,-1.199522188383304926e-15,9.794832160427432655e+00
1.045466393484737327e-01,-1.199522188401226465e-15,9.794832031171400999e+00
1.045484923091751228e-01,-1.199522188419148004e-15,9.794831901915380001e+00
1.045501599532478176e-01,-1.199522188437069149e-15,9.794831772659660984e+00
1.045516608123551738e-01,-1.199522188454990097e-15,9.794831643404505073e+00
1.045530115649941916e-01,-1.199522188472910452e-15,9.794831514150153851e+00
1.045542272218121654e-01,-1.199522188490830611e-15,9.794831384896831139e+00
1.045553212923917008e-01,-1.199522188508750178e-15,9.794831255644737666e+00
1.045563059353570995e-01,-1.199522188526669548e-15,9.794831126394058174e+00
1.045571920934703081e-01,-1.199522188544588524e-15,9.794830997144966744e+00
1.045579896152170618e-01,-1.199522188562507105e-15,9.794830867897614368e+00
1.045587073642344628e-01,-1.199522188580425094e-15,9.794830738652152036e+00
1.045593533177959916e-01,-1.199522188598342492e-15,9.794830609408711197e+00
1.045599346554477310e-01,-1.199522188616260087e-15,9.794830480167417974e+00
1.045604578387812067e-01,-1.199522188634177090e-15,9.794830350928386054e+00
1.045609286832287904e-01,-1.199522188652093699e-15,9.794830221691725569e+00
