ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00,2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
3.200000180364025226e+01,1.200000000015092780e+02,-2.449293598294706846e-17,1.999995305381683686e+00,4.333411038224493569e-03,2.449293598294706414e-16
3.200000360726594550e+01,1.200000000098696091e+02,-4.898587196589413692e-17,1.999959899539519581e+00,1.266492139234982710e-02,2.449293598294706414e-16
3.200000541084024519e+01,1.200000000278366912e+02,-7.347880794884116531e-17,1.999874665718054834e+00,2.239020810753795596e-02,2.449293598294706414e-16
3.200000721431543127e+01,1.200000000563709506e+02,-9.797174393178817522e-17,1.999734276263605448e+00,3.260098674081120251e-02,2.449293598294706414e-16
3.200000901764136785e+01,1.200000000958066693e+02,-1.224646799147351975e-16,1.999538118747407944e+00,4.298036384299819268e-02,2.449293598294706414e-16
3.200001082076787640e+01,1.200000001462595804e+02,-1.469576158976822074e-16,1.999286511174129366e+00,5.341765847711504173e-02,2.449293598294706414e-16
3.200001262364507681e+01,1.200000002077690908e+02,-1.714505518806292173e-16,1.998979764851365859e+00,6.387409267283773728e-02,2.449293598294706414e-16
3.200001442622334480e+01,1.200000002803476491e+02,-1.959434878635762272e-16,1.998618063854946225e+00,7.433595921696567466e-02,2.449293598294706414e-16
3.200001622845314841e+01,1.200000003639982680e+02,-2.204364238465232371e-16,1.998201503761957154e+00,8.479829222014695356e-02,2.449293598294706414e-16
3.200001803028504810e+01,1.200000004587203506e+02,-2.449293598294702470e-16,1.997730134391690004e+00,9.525917353913911090e-02,2.449293598294706414e-16
3.200001983166962560e+01,1.200000005645119074e+02,-2.694222958124172569e-16,1.997203985032618867e+00,1.057177476577432773e-01,2.449293598294706414e-16
3.200002163255748400e+01,1.200000006813702527e+02,-2.939152317953642668e-16,1.996623076853804690e+00,1.161735295790146533e-01,2.449293598294706414e-16
3.200002343289924767e+01,1.200000008092922315e+02,-3.184081677783112767e-16,1.995987428494691462e+00,1.266261635332467661e-01,2.449293598294706414e-16
3.200002523264556231e+01,1.200000009482744332e+02,-3.429011037612582866e-16,1.995297058454231554e+00,1.370753388611215540e-01,2.449293598294706414e-16
3.200002703174708785e+01,1.200000010983129783e+02,-3.673940397442052966e-16,1.994551986077150563e+00,1.475207606938563620e-01,2.449293598294706414e-16
3.200002883015449839e+01,1.200000012594038026e+02,-3.918869757271523065e-16,1.993752231951023690e+00,1.579621397370622182e-01,2.449293598294706414e-16
3.200003062781848939e+01,1.200000014315424437e+02,-4.163799117100993164e-16,1.992897818063009474e+00,1.683991887144823674e-01,2.449293598294706414e-16
3.200003242468977760e+01,1.200000016147242405e+02,-4.408728476930463263e-16,1.991988767860601417e+00,1.788316211334087247e-01,2.449293598294706414e-16
3.200003422071910109e+01,1.200000018089441625e+02,-4.653657836759937799e-16,1.991025106274645129e+00,1.892591508594444749e-01,2.449293598294706414e-16
