ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000018036410410e+01,1.199999999999999858e+02,-2.449293598294706384e-18
3.200000036072820819e+01,1.200000000000110845e+02,-4.898587196589412767e-18
3.200000054109231229e+01,1.200000000000432152e+02,-7.347880794884118380e-18
3.200000072145640928e+01,1.200000000001053877e+02,-9.797174393178825534e-18
3.200000090182048496e+01,1.200000000002056595e+02,-1.224646799147353269e-17
3.200000108218455352e+01,1.200000000003513208e+02,-1.469576158976823984e-17
3.200000126254857236e+01,1.200000000005489227e+02,-1.714505518806294700e-17
3.200000144291254855e+01,1.200000000008043344e+02,-1.959434878635765415e-17
3.200000162327644659e+01,1.200000000011228565e+02,-2.204364238465236130e-17
3.200000180364025226e+01,1.200000000015092780e+02,-2.449293598294706846e-17
3.200000198400393003e+01,1.200000000019678623e+02,-2.694222958124177561e-17
3.200000216436745859e+01,1.200000000025025031e+02,-2.939152317953647968e-17
3.200000234473080241e+01,1.200000000031166820e+02,-3.184081677783118684e-17
3.200000252509393306e+01,1.200000000038134971e+02,-3.429011037612589399e-17
3.200000270545680081e+01,1.200000000045957620e+02,-3.673940397442060115e-17
3.200000288581937724e+01,1.200000000054660632e+02,-3.918869757271530830e-17
3.200000306618162682e+01,1.200000000064266459e+02,-4.163799117101001545e-17
3.200000324654349981e+01,1.200000000074795565e+02,-4.408728476930472261e-17
3.200000342690495359e+01,1.200000000086266425e+02,-4.653657836759942976e-17
3.200000360726594550e+01,1.200000000098696091e+02,-4.898587196589413692e-17
3.200000378762643294e+01,1.200000000112099201e+02,-5.143516556418884407e-17
3.200000396798637325e+01,1.200000000126489113e+02,-5.388445916248355122e-17
3.200000414834570250e+01,1.200000000141878047e+02,-5.633375276077825838e-17
3.200000432870439226e+01,1.200000000158277089e+02,-5.878304635907295937e-17
3.200000450906239280e+01,1.200000000175695760e+02,-6.123233995736766036e-17
3.200000468941964726e+01,1.200000000194143297e+02,-6.368163355566236135e-17
3.200000486977609881e+01,1.200000000213627374e+02,-6.613092715395706234e-17
3.200000505013172614e+01,1.200000000234155095e+02,-6.858022075225176333e-17
3.200000523048645107e+01,1.200000000255732999e+02,-7.102951435054646432e-17
3.200000541084024519e+01,1.200000000278366912e+02,-7.347880794884116531e-17
3.200000559119304455e+01,1.200000000302061807e+02,-7.592810154713586630e-17
3.200000577154480652e+01,1.200000000326822800e+02,-7.837739514543056730e-17
3.200000595189547425e+01,1.200000000352654013e+02,-8.082668874372526829e-17
3.200000613224500512e+01,1.200000000379558855e+02,-8.327598234201996928e-17
3.200000631259334938e+01,1.200000000407540881e+02,-8.572527594031467027e-17
3.200000649294045019e+01,1.200000000436603500e+02,-8.817456953860937126e-17
3.200000667328625781e+01,1.200000000466749412e+02,-9.062386313690407225e-17
3.200000685363072250e+01,1.200000000497980892e+02,-9.307315673519877324e-17
3.200000703397379453e+01,1.200000000530300213e+02,-9.552245033349347423e-17
3.200000721431543127e+01,1.200000000563709506e+02,-9.797174393178817522e-17
3.200000739465557587e+01,1.200000000598210335e+02,-1.004210375300828762e-16
3.200000757499417148e+01,1.200000000633804547e+02,-1.028703311283775772e-16
3.200000775533117547e+01,1.200000000670493705e+02,-1.053196247266722782e-16
3.200000793566653101e+01,1.200000000708278662e+02,-1.077689183249669792e-16
3.200000811600019546e+01,1.200000000747161124e+02,-1.102182119232616802e-16
3.200000829633211907e+01,1.200000000787141943e+02,-1.126675055215563935e-16
3.200000847666225212e+01,1.200000000828222255e+02,-1.151167991198510945e-16
3.200000865699053065e+01,1.200000000870402488e+02,-1.175660927181457955e-16
3.200000883731691914e+01,1.200000000913683635e+02,-1.200153863164404965e-16
3.200000901764136785e+01,1.200000000958066693e+02,-1.224646799147351975e-16
3.200000919796381282e+01,1.200000001003551660e+02,-1.249139735130298984e-16
3.200000937828422565e+01,1.200000001050139673e+02,-1.273632671113245994e-16
3.200000955860253526e+01,1.200000001097831159e+02,-1.298125607096193004e-16
3.200000973891869904e+01,1.200000001146626261e+02,-1.322618543079140014e-16
3.200000991923267435e+01,1.200000001196525403e+02,-1.347111479062087024e-16
3.200001009954440434e+01,1.200000001247529298e+02,-1.371604415045034034e-16
3.200001027985383217e+01,1.200000001299637944e+02,-1.396097351027981044e-16
3.200001046016092232e+01,1.200000001352851910e+02,-1.420590287010928054e-16
3.200001064046561794e+01,1.200000001407170913e+02,-1.445083222993875064e-16
3.200001082076787640e+01,1.200000001462595804e+02,-1.469576158976822074e-16
3.200001100106763374e+01,1.200000001519126727e+02,-1.494069094959769084e-16
3.200001118136485445e+01,1.200000001576763395e+02,-1.518562030942716093e-16
3.200001136165947457e+01,1.200000001635506237e+02,-1.543054966925663103e-16
3.200001154195145148e+01,1.200000001695355678e+02,-1.567547902908610113e-16
3.200001172224074253e+01,1.200000001756311434e+02,-1.592040838891557123e-16
3.200001190252729089e+01,1.200000001818373647e+02,-1.616533774874504133e-16
3.200001208281104681e+01,1.200000001881542744e+02,-1.641026710857451143e-16
3.200001226309196767e+01,1.200000001945818724e+02,-1.665519646840398153e-16
3.200001244336999662e+01,1.200000002011201303e+02,-1.690012582823345163e-16
3.200001262364507681e+01,1.200000002077690908e+02,-1.714505518806292173e-16
3.200001280391717984e+01,1.200000002145287397e+02,-1.738998454789239183e-16
3.200001298418623463e+01,1.200000002213990911e+02,-1.763491390772186193e-16
3.200001316445220567e+01,1.200000002283801592e+02,-1.787984326755133202e-16
3.200001334471502901e+01,1.200000002354719300e+02,-1.812477262738080212e-16
3.200001352497467622e+01,1.200000002426744317e+02,-1.836970198721027222e-16
3.200001370523108335e+01,1.200000002499876217e+02,-1.861463134703974232e-16
3.200001388548420067e+01,1.200000002574115427e+02,-1.885956070686921242e-16
3.200001406573398555e+01,1.200000002649461948e+02,-1.910449006669868252e-16
3.200001424598038113e+01,1.200000002725915635e+02,-1.934941942652815262e-16
3.200001442622334480e+01,1.200000002803476491e+02,-1.959434878635762272e-16
3.200001460646281970e+01,1.200000002882144798e+02,-1.983927814618709282e-16
3.200001478669876320e+01,1.200000002961919989e+02,-2.008420750601656292e-16
3.200001496693112557e+01,1.200000003042802490e+02,-2.032913686584603302e-16
3.200001514715984996e+01,1.200000003124792300e+02,-2.057406622567550311e-16
3.200001532738489374e+01,1.200000003207889279e+02,-2.081899558550497321e-16
3.200001550760620717e+01,1.200000003292093567e+02,-2.106392494533444331e-16
3.200001568782373340e+01,1.200000003377405164e+02,-2.130885430516391341e-16
3.200001586803743692e+01,1.200000003463823646e+02,-2.155378366499338351e-16
3.200001604824726087e+01,1.200000003551349579e+02,-2.179871302482285361e-16
