ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.000000000000000000e+00,-1.224646799147353207e-16,2.449293598294706414e-16
1.999999997258443241e+00,1.047197550718592294e-04,2.449293598294706414e-16
1.999999976943507507e+00,3.036872886798602572e-04,2.449293598294706414e-16
1.999999913717451561e+00,5.874778177728468215e-04,2.449293598294706414e-16
1.999999775509269551e+00,9.476090286228388811e-04,2.449293598294706414e-16
1.999999526348478662e+00,1.376446824608728008e-03,2.449293598294706414e-16
1.999999128465070219e+00,1.867120499449244223e-03,2.449293598294706414e-16
1.999998543818596097e+00,2.413446393694769140e-03,2.449293598294706414e-16
1.999997735185637282e+00,3.009859186315967140e-03,2.449293598294706414e-16
1.999996666907911225e+00,3.651350057895063998e-03,2.449293598294706414e-16
1.999995305381683686e+00,4.333411038224493569e-03,2.449293598294706414e-16
1.999993619351914331e+00,5.051984919781244907e-03,2.449293598294706414e-16
1.999991580060828555e+00,5.803420180397893778e-03,2.449293598294706414e-16
1.999989161289660977e+00,6.584430414111434003e-03,2.449293598294706414e-16
1.999986339323645668e+00,7.392057819277704327e-03,2.449293598294706414e-16
1.999983092863434342e+00,8.223640338149387774e-03,2.449293598294706414e-16
1.999979402900695646e+00,9.076782082692538833e-03,2.449293598294706414e-16
1.999975252571355888e+00,9.949326717968465586e-03,2.449293598294706414e-16
1.999970626996586232e+00,1.083933350727094361e-02,2.449293598294706414e-16
1.999965513119004612e+00,1.174505575280945097e-02,2.449293598294706414e-16
1.999959899539519581e+00,1.266492139234982710e-02,2.449293598294706414e-16
1.999953776358654345e+00,1.359751553620026053e-02,2.449293598294706414e-16
1.999947135024975342e+00,1.454156475048887752e-02,2.449293598294706414e-16
1.999939968192321116e+00,1.549592291209095016e-02,2.449293598294706414e-16
1.999932269586824907e+00,1.645955847803549227e-02,2.449293598294706414e-16
1.999924033884203700e+00,1.743154302793704577e-02,2.449293598294706414e-16
1.999915256597403435e+00,1.841104095214811040e-02,2.449293598294706414e-16
1.999905933974414074e+00,1.939730017105868384e-02,2.449293598294706414e-16
1.999896062905876626e+00,2.038964378242931821e-02,2.449293598294706414e-16
1.999885640841978507e+00,2.138746254395474528e-02,2.449293598294706414e-16
1.999874665718054834e+00,2.239020810753795596e-02,2.449293598294706414e-16
1.999863135888264587e+00,2.339738693010422546e-02,2.449293598294706414e-16
1.999851050066704827e+00,2.440855479330536135e-02,2.449293598294706414e-16
1.999838407275322361e+00,2.542331187122584546e-02,2.449293598294706414e-16
1.999825206798001798e+00,2.644129829129508724e-02,2.449293598294706414e-16
1.999811448140240255e+00,2.746219013908620526e-02,2.449293598294706414e-16
1.999797130993847150e+00,2.848569586261481129e-02,2.449293598294706414e-16
1.999782255206149273e+00,2.951155303619241305e-02,2.449293598294706414e-16
