q0 (),q1,q2,q3
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329553568477017755e-17,7.070697561927931085e-01,7.071438042417285130e-01,4.330006982007576855e-17
4.329122781645607969e-17,7.069994033642535980e-01,7.072141427054392526e-01,4.330437680879778520e-17
4.328508269449717004e-17,7.068990459066880616e-01,7.073144554554319230e-01,4.331051919320739302e-17
4.327728325736499892e-17,7.067716714320623206e-01,7.074417322021150367e-01,4.331831264622896058e-17
4.326799399614317995e-17,7.066199662836344375e-01,7.075932611672579586e-01,4.332759111933597830e-17
4.325736283639541613e-17,7.064463462691916718e-01,7.077665998356444943e-01,4.333820505160638228e-17
4.324552282402152816e-17,7.062529841931689534e-01,7.079595485041807468e-01,4.335001975007251555e-17
4.323259363626166816e-17,7.060418345332202250e-01,7.081701263742807839e-01,4.336291392580198187e-17
4.321868293659090135e-17,7.058146555673265876e-01,7.083965499537501209e-01,4.337677837139440776e-17
4.320388759012788927e-17,7.055730292229256406e-01,7.086372135537227779e-01,4.339151476676330109e-17
4.318829475432097853e-17,7.053183788891679296e-01,7.088906716843974554e-01,4.340703460118572724e-17
4.317198285803932645e-17,7.050519854066877867e-01,7.091556231703219915e-01,4.342325820064407300e-17
4.315502248075415215e-17,7.047750014257230244e-01,7.094308968217920564e-01,4.344011385045219287e-17
4.313747714222296598e-17,7.044884643026374516e-01,7.097154385135717725e-01,4.345753700405529097e-17
4.311940401196403078e-17,7.041933076865172225e-01,7.100082995356618021e-01,4.347546956972017213e-17
4.310085454681165616e-17,7.038903719312400442e-01,7.103086260932641727e-01,4.349385926759350676e-17
4.308187506395964984e-17,7.035804134539841437e-01,7.106156498444998748e-01,4.351265905030415419e-17
4.306250725611532694e-17,7.032641131483318153e-01,7.109286793748655908e-01,4.353182658092420347e-17
4.304278865468898339e-17,7.029420839487279249e-01,7.112470925169532832e-01,4.355132376268741235e-17
4.302275304632310971e-17,7.026148776329179668e-01,7.115703294326427564e-01,4.357111631539568248e-17
4.300243084751234612e-17,7.022829909399561643e-01,7.118978863828923087e-01,4.359117339392876063e-17
4.298184944157188314e-17,7.019468710733171024e-01,7.122293101174508312e-01,4.361146724471318708e-17
4.296103348177192614e-17,7.016069206514575773e-01,7.125641928233409361e-01,4.363197289640609516e-17
4.294000516406222529e-17,7.012635021617453779e-01,7.129021675769008359e-01,4.365266788141308140e-17
4.291878447245930257e-17,7.009169419679377455e-01,7.132429042495372906e-01,4.367353198518789552e-17
4.289738939985423980e-17,7.005675339162454884e-01,7.135861058222128239e-01,4.369454702055987051e-17
4.287583614671745300e-17,7.002155425804286182e-01,7.139315050680954400e-01,4.371569662460477248e-17
4.285413929992458499e-17,6.998612061822446773e-01,7.142788615667787777e-01,4.373696607581855139e-17
4.283231199370160206e-17,6.995047392198816549e-01,7.146279590170855345e-01,4.375834212957398470e-17
4.281036605448465933e-17,6.991463348336990347e-01,7.149786028187173903e-01,4.377981287003944922e-17
4.278831213130846697e-17,6.987861669356316696e-01,7.153306178959542017e-01,4.380136757691893479e-17
4.276615981317387230e-17,6.984243921259474241e-01,7.156838467392573344e-01,4.382299660553482065e-17
4.274391773469890381e-17,6.980611514186602085e-01,7.160381476430248693e-01,4.384469127892151496e-17
4.272159367122627629e-17,6.976965717947527512e-01,7.163933931199041316e-01,4.386644379073010657e-17
4.269919462444201471e-17,6.973307676004355526e-01,7.167494684740179922e-01,4.388824711786364678e-17
4.267672689945430145e-17,6.969638418059395102e-01,7.171062705172123186e-01,4.391009494187000123e-17
4.265419617418578601e-17,6.965958871387782914e-01,7.174637064140167997e-01,4.393198157821610023e-17
4.263160756184741824e-17,6.962269871040238645e-01,7.178216926424371147e-01,4.395390191265478814e-17
4.260896566718465001e-17,6.958572169028763854e-01,7.181801540589820565e-01,4.397585134397426622e-17
4.258627463711778163e-17,6.954866442596837617e-01,7.185390230574842940e-01,4.399782573249072024e-17
4.256353820633577415e-17,6.951153301665454753e-01,7.188982388123192901e-01,4.401982135370881896e-17
4.254075973834714100e-17,6.947433295537239761e-01,7.192577465975640294e-01,4.404183485663224572e-17
4.251794226244099654e-17,6.943706918932649463e-01,7.196174971744840887e-01,4.406386322625807088e-17
4.249508850696612089e-17,6.939974617424853331e-01,7.199774462404969766e-01,4.408590374983550693e-17
4.247220092929513267e-17,6.936236792333255741e-01,7.203375539334491151e-01,4.410795398651161936e-17
4.244928174280422225e-17,6.932493805129620323e-01,7.206977843856565702e-01,4.413001174002417919e-17
4.242633294116590145e-17,6.928745981405376453e-01,7.210581053227184123e-01,4.415207503413610918e-17
4.240335632022250787e-17,6.924993614443833989e-01,7.214184877026103004e-01,4.417414209053629737e-17
4.238035349768154108e-17,6.921236968436678128e-01,7.217789053910169672e-01,4.419621130895945802e-17
4.235732593084985354e-17,6.917476281380178227e-01,7.221393348692665137e-01,4.421828124930229124e-17
4.233427493260198878e-17,6.913711767683018428e-01,7.224997549715940215e-01,4.424035061553547834e-17
4.231120168575867515e-17,6.909943620514483742e-01,7.228601466487911686e-01,4.426241824123142456e-17
4.228810725603370960e-17,6.906172013918843167e-01,7.232204927555921925e-01,4.428448307654537940e-17
4.226499260369184274e-17,6.902397104719234511e-01,7.235807778594144368e-01,4.430654417650419248e-17
4.224185859404612627e-17,6.898619034232000846e-01,7.239409880683088661e-01,4.432860069047133507e-17
4.221870600691011215e-17,6.894837929810361254e-01,7.243011108761906458e-01,4.435065185266995034e-17
4.219553554510911937e-17,6.891053906234401172e-01,7.246611350236163984e-01,4.437269697365798489e-17
4.217234784214422110e-17,6.887267066962695639e-01,7.250210503725466049e-01,4.439473543265955479e-17
4.214914346909321831e-17,6.883477505259327778e-01,7.253808477936870558e-01,4.441676667066661581e-17
4.212592294082476833e-17,6.879685305208730339e-01,7.257405190651481375e-01,4.443879018423361710e-17
4.210268672159377524e-17,6.875890542629483626e-01,7.261000567812843087e-01,4.446080551989556465e-17
4.207943523007994922e-17,6.872093285897172832e-01,7.264594542706908076e-01,4.448281226914672432e-17
4.205616884392468743e-17,6.868293596685318692e-01,7.268187055224394344e-01,4.450481006392390633e-17
4.203288790381641200e-17,6.864491530632561567e-01,7.271778051197232973e-01,4.452679857254334473e-17
4.200959271716918870e-17,6.860687137943430880e-01,7.275367481801697789e-01,4.454877749604594179e-17
4.198628356143525866e-17,6.856880463929313496e-01,7.278955303021479306e-01,4.457074656490953609e-17
4.196296068708773994e-17,6.853071549495575177e-01,7.282541475164718836e-01,4.459270553609158628e-17
4.193962432030650783e-17,6.849260431580191932e-01,7.286125962429549352e-01,4.461465419036887939e-17
4.191627466539665753e-17,6.845447143548719637e-01,7.289708732513301426e-01,4.463659232994461989e-17
4.189291190696629027e-17,6.841631715549947312e-01,7.293289756260962209e-01,4.465851977629583786e-17
4.186953621188749822e-17,6.837814174836156500e-01,7.296869007348955050e-01,4.468043636823711133e-17
4.184614773106213721e-17,6.833994546051490593e-01,7.300446462000695913e-01,4.470234196017886011e-17
4.182274660101185602e-17,6.830172851491627117e-01,7.304022098730721391e-01,4.472423642056055700e-17
4.179933294530986654e-17,6.826349111337601805e-01,7.307595898114531696e-01,4.474611963044144633e-17
4.177590687587013978e-17,6.822523343866354617e-01,7.311167842581557386e-01,4.476799148223281984e-17
4.175246849410836253e-17,6.818695565640322531e-01,7.314737916228920556e-01,4.478985187855763807e-17
4.172901789198722742e-17,6.814865791678155205e-01,7.318306104653923283e-01,4.481170073122480786e-17
4.170555515295779663e-17,6.811034035608443116e-01,7.321872394803351503e-01,4.483353796030644926e-17
4.168208035280702816e-17,6.807200309808136840e-01,7.325436774837934539e-01,4.485536349330793373e-17
