ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-1.803641037695666798e-05,3.543207813446958270e-03,-5.977859580299313969e-01
-1.840745422864322912e-05,3.543207777938920354e-03,-1.137785956844236557e+00
-1.911243752536372000e-05,3.543207609699067749e-03,-1.623785954601455694e+00
-2.011796623746550363e-05,3.543207129993606198e-03,-2.061185951407296990e+00
-2.139398560779886689e-05,3.543206112292099797e-03,-2.454845947356898872e+00
-2.291344615033246698e-05,3.543204302357125766e-03,-2.809139942535887169e+00
-2.465200305193704692e-05,3.543201433132935063e-03,-3.128004537021324971e+00
-2.658774564218902955e-05,3.543197235587991489e-03,-3.414982670882570126e+00
-2.870095392658435712e-05,3.543191446427443412e-03,-3.673262990182046828e+00
-3.097387947722604769e-05,3.543183813400147247e-03,-3.905715276375937073e+00
-3.339054824460037016e-05,3.543174098771955521e-03,-4.114922332774806790e+00
-3.593658309719184444e-05,3.543162081414811398e-03,-4.303208682358168780e+00
-3.859904411477966060e-05,3.543147557863764261e-03,-4.472666395807581630e+00
-4.136628485867713652e-05,3.543130342616599825e-03,-4.625178336736452955e+00
-4.422782301991754595e-05,3.543110267889159129e-03,-4.762439082396852541e+00
-4.717422400644663772e-05,3.543087182990691929e-03,-4.885973752315640795e+00
-5.019699617443369245e-05,3.543060953445071812e-03,-4.997154954066996169e+00
-5.328849653846578230e-05,3.543031459953294507e-03,-5.097218034467680070e+00
-5.644184591206660077e-05,3.542998597268861433e-03,-5.187274805652779541e+00
-5.965085253498331636e-05,3.542962273039041224e-03,-5.268325898543876562e+00
-6.290994333814485279e-05,3.542922406650453760e-03,-5.341271880970392516e+00
-6.621410208221458892e-05,3.542878928106225293e-03,-5.406923263978811178e+00
-6.955881368215254045e-05,3.542831776953303969e-03,-5.466009507510968923e+00
-7.294001409901446650e-05,3.542780901272001622e-03,-5.519187125514518399e+00
-7.635404524216512470e-05,3.542726256734787891e-03,-5.567046980542349033e+00
-7.979761438078686808e-05,3.542667805737721113e-03,-5.610120848892065304e+00
-8.326775761372217895e-05,3.542605516605150471e-03,-5.648887329231508936e+00
-8.676180699180530771e-05,3.542539362866409160e-03,-5.683777160361740854e+00
-9.027736092743425100e-05,3.542469322601783308e-03,-5.715178007203717492e+00
-9.381225756268115983e-05,3.542395377854247289e-03,-5.743438768186299725e+00
-9.736455080011404003e-05,3.542317514102813827e-03,-5.768873451895463411e+00
