gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.803641037695666798e-05,3.543207813446995567e-03,-8.977859580299312192e-01
-1.859297615275651096e-05,3.543207749098923991e-03,-1.707785956256966386e+00
-1.965045106305114404e-05,3.543207392253937705e-03,-2.436785952898372187e+00
-2.115874392146868359e-05,3.543206340146084175e-03,-3.092885948112711336e+00
-2.307277222347535247e-05,3.543204082528621842e-03,-3.683375942042693918e+00
-2.535196102716266663e-05,3.543200046869908817e-03,-4.214816934816759009e+00
-2.795979195634853076e-05,3.543193631847788971e-03,-4.693113826550504797e+00
-3.086339733117125284e-05,3.543184231741017438e-03,-5.123581027347976935e+00
-3.403319492082259001e-05,3.543171253778635600e-03,-5.511001506302815045e+00
-3.744255925751202330e-05,3.543154130077707034e-03,-5.859679935599301892e+00
-4.106752585341118104e-05,3.543132325455615201e-03,-6.173490520203299248e+00
-4.488652502636888069e-05,3.543105342128295265e-03,-6.455920044584084749e+00
-4.888014236892202348e-05,3.543072722086652599e-03,-6.710106614764013599e+00
-5.303090319159110973e-05,3.543034047769056533e-03,-6.938874526163214540e+00
-5.732307853866846820e-05,3.542988941509374757e-03,-7.144765644659805126e+00
-6.174251061535805326e-05,3.542937064130221442e-03,-7.330067649544098174e+00
-6.627645568179190154e-05,3.542878112964503810e-03,-7.496839452177379570e+00
-7.091344266446608072e-05,3.542811819519928358e-03,-7.646934072784814518e+00
-7.564314591108796122e-05,3.542737946947631215e-03,-7.782019229569053564e+00
-8.045627067270089041e-05,3.542656287434035704e-03,-7.903595868912490552e+00
-8.534445003896490376e-05,3.542566659602517168e-03,-8.013014842559282869e+00
-9.030015218022364933e-05,3.542468905986128139e-03,-8.111491917079181491e+00
-9.531659686490268329e-05,3.542362890613264849e-03,-8.200121282384959187e+00
-1.003876803241533625e-04,3.542248496733335032e-03,-8.279887709398124684e+00
-1.055079076286479439e-04,3.542125624698320985e-03,-8.351677491948036547e+00
-1.106723318260782930e-04,3.541994190007806062e-03,-8.416288294481125476e+00
-1.158764991631667059e-04,3.541854121518901808e-03,-8.474438014999178037e+00
-1.211163997836948205e-04,3.541705359818161838e-03,-8.526772761703810488e+00
-1.263884233549634009e-04,3.541547855749475112e-03,-8.573874031976481902e+00
-1.316893191299019672e-04,3.541381569089919416e-03,-8.616265173460513793e+00
-1.370161600013500910e-04,3.541206467364284294e-03,-8.654417199034893926e+00
-1.423663101493978620e-04,3.541022524788286184e-03,-8.688754020290716085e+00
-1.477373959225968436e-04,3.540829721330264294e-03,-8.719657157659971958e+00
