ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
9.000000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.000900000000000034e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.002609999999999957e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.005048999999999637e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.008144100000001231e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.011829690000000426e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.016046721000000730e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.020742048900000043e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.025867844009999885e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.031381059608999351e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.037242953648100752e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.043418658283290767e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.049876792454961105e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.056589113209466291e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.063530201888518434e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.070677181699667813e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.078009463529701861e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.085508517176731402e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.093157665459057171e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.100941898913151817e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.108847709021837602e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.116862938119653847e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.124976644307689355e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.133178979876920778e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.141461081889228524e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.149814973700306098e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.158233476330275380e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.166710128697248194e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.175239115827523051e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.183815204244771735e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.192433683820294732e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.201090315438266032e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.209781283894439241e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.218503155504996016e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.227252839954496721e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.236027555959046254e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.244824800363142003e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.253642320326828496e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.262478088294145095e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.271330279464731916e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.280197251518258383e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.289077526366432380e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.297969773729789722e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.306872796356810795e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.315785516721129511e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.324706965049017526e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.333636268544115921e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.342572641689704938e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.351515377520733807e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.360463839768659966e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.369417455791794680e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.378375710212614536e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.387338139191352582e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.396304325272217284e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.405273892744995123e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.414246503470495497e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.423221853123445158e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.432199667811102017e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.441179701029992088e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.450161730926993187e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.459145557834294493e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.468131002050863287e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.477117901845777226e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.486106111661199236e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.495095500495079932e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.504085950445572450e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.513077355401014756e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.522069619860913292e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.531062657874822719e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.540056392087340953e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.549050752878606829e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.558045677590746436e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.567041109831671974e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.576036998848505277e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.585033298963655568e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.594029969067290153e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.603026972160562025e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.612024274944505464e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.621021847450056441e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.630019662705051076e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.639017696434545712e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.648015926791092056e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.657014334111983089e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.666012900700785337e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.675011610630706116e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.684010449567635703e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.693009404610872082e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.702008464149784572e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.711007617734807695e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.720006855961327119e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.729006170365194350e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.738005553328675035e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.747004997995807685e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.756004498196227814e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.765004048376604828e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.774003643538944175e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.783003279185049905e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.792002951266545097e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.801002656139890234e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.810002390525900751e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.819002151473311812e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.828001936325981092e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.837001742693382766e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.846001568424044592e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.855001411581639559e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.864001270423476342e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.873001143381128486e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.882001029043014739e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.891000926138713112e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.900000833524842392e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.909000750172357641e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.918000675155121826e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.927000607639608631e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.936000546875648354e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.945000492188083285e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.954000442969275753e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.963000398672348012e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.972000358805112796e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.981000322924602131e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.990000290632141855e+01,0.000000000000000000e+00,1.800000000000000000e+02
9.999000261568927783e+01,0.000000000000000000e+00,1.800000000000000000e+02
1.000800023541203529e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.001700021187083252e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.002600019068374877e+02,0.000000000000000000e+00,1.800000000000000000e+02
