accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
8.346666551848748450e-02,-1.199522186948852877e-15,9.794839453907069782e+00
1.588648888735341991e-01,-1.199522186984721594e-15,9.794839350584970461e+00
2.267232895647710855e-01,-1.199522187020589916e-15,9.794839154009398641e+00
2.877958498585795888e-01,-1.199522187056458435e-15,9.794838873505794297e+00
3.427611537947031217e-01,-1.199522187092326954e-15,9.794838517467191252e+00
3.922299270089116274e-01,-1.199522187128195276e-15,9.794838093447548744e+00
4.367518225733989512e-01,-1.199522187164063796e-15,9.794837608245739347e+00
4.768215282531408916e-01,-1.199522187199932118e-15,9.794837067981122303e+00
5.128842630366168276e-01,-1.199522187235800440e-15,9.794836478161558446e+00
5.453407240134600098e-01,-1.199522187271667973e-15,9.794835843744603920e+00
5.745515385643413797e-01,-1.199522187307535309e-15,9.794835169192579016e+00
6.008412713318675991e-01,-1.199522187343402645e-15,9.794834458522119647e+00
6.245020304943856848e-01,-1.199522187379269192e-15,9.794833715348751468e+00
6.457967134124094066e-01,-1.199522187415135739e-15,9.794832942927023112e+00
6.649619277104040771e-01,-1.199522187451000709e-15,9.794832144186592870e+00
6.822106202503893657e-01,-1.199522187486865481e-15,9.794831321764743137e+00
6.977344432081848957e-01,-1.199522187522729267e-15,9.794830478035585486e+00
7.117058835420306817e-01,-1.199522187558591870e-15,9.794829615136388057e+00
7.242801795143439803e-01,-1.199522187594453092e-15,9.794828734991252617e+00
7.355970455613022319e-01,-1.199522187630313328e-15,9.794827839332421959e+00
7.457822246754667317e-01,-1.199522187666172184e-15,9.794826929719450348e+00
7.549488855501447215e-01,-1.199522187702029068e-15,9.794826007556473257e+00
7.631988800093140179e-01,-1.199522187737884176e-15,9.794825074107736285e+00
7.706238746945560658e-01,-1.199522187773737707e-15,9.794824130511575078e+00
7.773063695832963527e-01,-1.199522187809588872e-15,9.794823177793002600e+00
7.833206146552191829e-01,-1.199522187845438064e-15,9.794822216875033405e+00
7.887334348920418403e-01,-1.199522187881284692e-15,9.794821248588867491e+00
7.936049727773116791e-01,-1.199522187917128954e-15,9.794820273683084721e+00
7.979893565462224947e-01,-1.199522187952970258e-15,9.794819292831880020e+00
8.019353016104509013e-01,-1.199522187988808997e-15,9.794818306642516959e+00
8.054866518405062736e-01,-1.199522188024644582e-15,9.794817315661997981e+00
8.086828667198494580e-01,-1.199522188060477011e-15,9.794816320383104014e+00
8.115594597835964485e-01,-1.199522188096306679e-15,9.794815321249805251e+00
8.141483932133530832e-01,-1.199522188132132402e-15,9.794814318662128372e+00
8.164784329725661705e-01,-1.199522188167954576e-15,9.794813312980569009e+00
8.185754684283389482e-01,-1.199522188203772805e-15,9.794812304530033487e+00
8.204628000110661956e-01,-1.199522188239587288e-15,9.794811293603389757e+00
8.221613981081042910e-01,-1.199522188275397826e-15,9.794810280464684382e+00
8.236901360680758399e-01,-1.199522188311203630e-15,9.794809265351998917e+00
8.250659999047423865e-01,-1.199522188347005294e-15,9.794808248480077140e+00
8.263042770304904749e-01,-1.199522188382802224e-15,9.794807230042630763e+00
8.274187261164700491e-01,-1.199522188418594618e-15,9.794806210214455078e+00
8.284217299667170353e-01,-1.199522188454382082e-15,9.794805189153322544e+00
8.293244331048656992e-01,-1.199522188490164615e-15,9.794804167001672113e+00
8.301368656021872461e-01,-1.199522188525941430e-15,9.794803143888145769e+00
8.308680545228281922e-01,-1.199522188561713313e-15,9.794802119928984752e+00
8.315261242245217677e-01,-1.199522188597479478e-15,9.794801095229246357e+00
8.321183866292284348e-01,-1.199522188633239923e-15,9.794800069883931926e+00
8.326514224667153075e-01,-1.199522188668994255e-15,9.794799043978994035e+00
8.331311543937733877e-01,-1.199522188704742867e-15,9.794798017592244221e+00
8.335629128015159539e-01,-1.199522188740485563e-15,9.794796990794154112e+00
8.339514950419466555e-01,-1.199522188776221554e-15,9.794795963648596171e+00
8.343012187318702422e-01,-1.199522188811951037e-15,9.794794936213515157e+00
8.346159697264119437e-01,-1.199522188847674011e-15,9.794793908541501892e+00
8.348992452951867760e-01,-1.199522188883389886e-15,9.794792880680335045e+00
8.351541929808488085e-01,-1.199522188919099055e-15,9.794791852673473187e+00
8.353836455717887910e-01,-1.199522188954801125e-15,9.794790824560472231e+00
8.355901525775591976e-01,-1.199522188990495700e-15,9.794789796377381563e+00
8.357760085567589314e-01,-1.199522189026182979e-15,9.794788768157099312e+00
8.359432786121289150e-01,-1.199522189061862763e-15,9.794787739929676107e+00
8.360938213361364113e-01,-1.199522189097534659e-15,9.794786711722609951e+00
8.362293094620043554e-01,-1.199522189133198666e-15,9.794785683561096690e+00
8.363512484496340438e-01,-1.199522189168854587e-15,9.794784655468266266e+00
8.364609932129387637e-01,-1.199522189204502225e-15,9.794783627465378117e+00
8.365597631744413620e-01,-1.199522189240141581e-15,9.794782599572016579e+00
8.366486558144141661e-01,-1.199522189275772258e-15,9.794781571806261411e+00
8.367286588651032808e-01,-1.199522189311394061e-15,9.794780544184822801e+00
8.368006612855319881e-01,-1.199522189347007384e-15,9.794779516723203017e+00
8.368654631388225962e-01,-1.199522189382611438e-15,9.794778489435790547e+00
8.369237844817865035e-01,-1.199522189418206617e-15,9.794777462335989782e+00
8.369762733655554676e-01,-1.199522189453792132e-15,9.794776435436311601e+00
8.370235130361496356e-01,-1.199522189489368378e-15,9.794775408748463974e+00
8.370660284149883390e-01,-1.199522189524934764e-15,9.794774382283435443e+00
8.371042919313501640e-01,-1.199522189560491683e-15,9.794773356051562629e+00
8.371387287715877923e-01,-1.199522189596038150e-15,9.794772330062590626e+00
8.371697216034200695e-01,-1.199522189631574756e-15,9.794771304325752936e+00
8.371976148277946450e-01,-1.199522189667101107e-15,9.794770278849796341e+00
8.372227184055663907e-01,-1.199522189702617203e-15,9.794769253643044848e+00
8.372453113015064785e-01,-1.199522189738122649e-15,9.794768228713433444e+00
8.372656445839095074e-01,-1.199522189773617248e-15,9.794767204068559607e+00
8.372839442142425703e-01,-1.199522189809100803e-15,9.794766179715701071e+00
8.373004135578272500e-01,-1.199522189844573511e-15,9.794765155661863787e+00
8.373152356434547805e-01,-1.199522189880034979e-15,9.794764131913794358e+00
8.373285751970380719e-01,-1.199522189915485007e-15,9.794763108478013791e+00
8.373405804719007417e-01,-1.199522189950923597e-15,9.794762085360837034e+00
8.373513848960351114e-01,-1.199522189986350552e-15,9.794761062568397847e+00
8.373611085546360799e-01,-1.199522190021765476e-15,9.794760040106663013e+00
8.373698595243799225e-01,-1.199522190057168567e-15,9.794759017981444771e+00
8.373777350742768188e-01,-1.199522190092559431e-15,9.794757996198429240e+00
8.373848227464377736e-01,-1.199522190127938462e-15,9.794756974763176416e+00
8.373912013287637679e-01,-1.199522190163304674e-15,9.794755953681130833e+00
