ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00,4.000000000000000000e+00,-2.449293598294706414e-16,4.898587196589412829e-16
3.200000360725686477e+01,1.200000000120742101e+02,-4.898587196589413692e-17,3.999849773095450978e+00,3.466688143272876610e-02,4.898587196589412829e-16
3.200000721404805404e+01,1.200000000789535903e+02,-9.797174393178827383e-17,3.998716849585474797e+00,1.013092139995897950e-01,4.898587196589412829e-16
3.200001081919476320e+01,1.200000002226621802e+02,-1.469576158976823306e-16,3.995989931293539410e+00,1.790655438677533628e-01,4.898587196589412829e-16
3.200001442117092409e+01,1.200000004508288356e+02,-1.959434878635763504e-16,3.991499664499343680e+00,2.606346644282506175e-01,4.898587196589412829e-16
3.200001801837430548e+01,1.200000007660356260e+02,-2.449293598294703949e-16,3.985228331712245442e+00,3.434459842799640894e-01,4.898587196589412829e-16
3.200002160920336536e+01,1.200000011690790700e+02,-2.939152317953644147e-16,3.977188714413435022e+00,4.265793360471270557e-01,4.898587196589412829e-16
3.200002519206906726e+01,1.200000016601081114e+02,-3.429011037612584346e-16,3.967394093445139269e+00,5.096902071814017887e-01,4.898587196589412829e-16
3.200002876539294050e+01,1.200000022390208017e+02,-3.918869757271524544e-16,3.955854391039547835e+00,5.926348259199138990e-01,4.898587196589412829e-16
3.200003232760451510e+01,1.200000029056026420e+02,-4.408728476930464742e-16,3.942577410873954413e+00,6.753394400347325632e-01,4.898587196589412829e-16
3.200003587713995756e+01,1.200000036595750572e+02,-4.898587196589404940e-16,3.927570205062280273e+00,7.577547652816428725e-01,4.898587196589412829e-16
3.200003941244177952e+01,1.200000045006120644e+02,-5.388445916248345138e-16,3.910839879419468978e+00,8.398401261801635709e-01,4.898587196589412829e-16
3.200004293195905092e+01,1.200000054283464550e+02,-5.878304635907285336e-16,3.892393987833417945e+00,9.215579436358097842e-01,4.898587196589412829e-16
3.200004643414791161e+01,1.200000064423718698e+02,-6.368163355566225535e-16,3.872240707866716924e+00,1.002871826476279260e+00,4.898587196589412829e-16
3.200004991747216110e+01,1.200000075422437078e+02,-6.858022075225165733e-16,3.850388913592177609e+00,1.083745917679254545e+00,4.898587196589412829e-16
3.200005338040386249e+01,1.200000087274796243e+02,-7.347880794884105931e-16,3.826848203231430379e+00,1.164144677187665122e+00,4.898587196589412829e-16
3.200005682142407437e+01,1.200000099975597578e+02,-7.837739514543046129e-16,3.801628907637327526e+00,1.244032816535086239e+00,4.898587196589412829e-16
3.200006023902344765e+01,1.200000113519270570e+02,-8.327598234201986327e-16,3.774742090778323345e+00,1.323375286193032352e+00,4.898587196589412829e-16
3.200006363170290768e+01,1.200000127899874087e+02,-8.817456953860926526e-16,3.746199546839400263e+00,1.402137281174804073e+00,4.898587196589412829e-16
3.200006699797430088e+01,1.200000143111100783e+02,-9.307315673519875598e-16,3.716013795801241582e+00,1.480284252910517129e+00,4.898587196589412829e-16
3.200007033636108389e+01,1.200000159146278094e+02,-9.797174393178825657e-16,3.684198078235643603e+00,1.557781923224425435e+00,4.898587196589412829e-16
3.200007364539892762e+01,1.200000175998373351e+02,-1.028703311283777572e-15,3.650766349606433536e+00,1.634596298962320393e+00,4.898587196589412829e-16
3.200007692363637801e+01,1.200000193659993641e+02,-1.077689183249672578e-15,3.615733274189003144e+00,1.710693686760569543e+00,4.898587196589412829e-16
3.200008016963548130e+01,1.200000212123393055e+02,-1.126675055215567583e-15,3.579114218653356438e+00,1.786040707776106462e+00,4.898587196589412829e-16
3.200008338197245195e+01,1.200000231380472258e+02,-1.175660927181462589e-15,3.540925245329458182e+00,1.860604312310523811e+00,4.898587196589412829e-16
3.200008655923824108e+01,1.200000251422784885e+02,-1.224646799147357595e-15,3.501183105163877762e+00,1.934351794300877891e+00,4.898587196589412829e-16
3.200008970003920439e+01,1.200000272241539960e+02,-1.273632671113252601e-15,3.459905230373039764e+00,2.007250805663627791e+00,4.898587196589412829e-16
3.200009280299767056e+01,1.200000293827605020e+02,-1.322618543079147607e-15,3.417109726797169511e+00,2.079269370482856427e+00,4.898587196589412829e-16
3.200009586675259499e+01,1.200000316171512225e+02,-1.371604415045042613e-15,3.372815365958573786e+00,2.150375899035732008e+00,4.898587196589412829e-16
3.200009888996009266e+01,1.200000339263461058e+02,-1.420590287010937619e-15,3.327041576827869385e+00,2.220539201648718208e+00,4.898587196589412829e-16
3.200010187129410610e+01,1.200000363093322306e+02,-1.469576158976832625e-15,3.279808437301816149e+00,2.289728502378353792e+00,4.898587196589412829e-16
3.200010480944691693e+01,1.200000387650643319e+02,-1.518562030942727631e-15,3.231136665396479923e+00,2.357913452510612462e+00,4.898587196589412829e-16
3.200010770312974273e+01,1.200000412924652835e+02,-1.567547902908622636e-15,3.181047610159636108e+00,2.425064143872831313e+00,4.898587196589412829e-16
3.200011055107333391e+01,1.200000438904264684e+02,-1.616533774874517642e-15,3.129563242306369286e+00,2.491151121952428493e+00,4.898587196589412829e-16
3.200011335202848528e+01,1.200000465578083464e+02,-1.665519646840412648e-15,3.076706144581995428e+00,2.556145398816623171e+00,4.898587196589412829e-16
3.200011610476659740e+01,1.200000492934409095e+02,-1.714505518806307654e-15,3.022499501856518833e+00,2.620018465827501863e+00,4.898587196589412829e-16
3.200011880808023790e+01,1.200000520961242216e+02,-1.763491390772202660e-15,2.966967090954985675e+00,2.682742306146848499e+00,4.898587196589412829e-16
3.200012146078363173e+01,1.200000549646289301e+02,-1.812477262738097469e-15,2.910133270228180358e+00,2.744289407025256811e+00,4.898587196589412829e-16
3.200012406171322965e+01,1.200000578976968342e+02,-1.861463134703992475e-15,2.852022968868249464e+00,2.804632771870131158e+00,4.898587196589412829e-16
3.200012660972817713e+01,1.200000608940413969e+02,-1.910449006669887481e-15,2.792661675973932667e+00,2.863745932087283563e+00,4.898587196589412829e-16
3.200012910371081887e+01,1.200000639523483130e+02,-1.959434878635782486e-15,2.732075429370202535e+00,2.921602958690935115e+00,4.898587196589412829e-16
3.200013154256721037e+01,1.200000670712761064e+02,-2.008420750601677492e-15,2.670290804187213318e+00,2.978178473677023597e+00,4.898587196589412829e-16
3.200013392522760824e+01,1.200000702494567122e+02,-2.057406622567572498e-15,2.607334901203571143e+00,3.033447661154839103e+00,4.898587196589412829e-16
3.200013625064688227e+01,1.200000734854961024e+02,-2.106392494533467504e-15,2.543235334959037530e+00,3.087386278232089332e+00,4.898587196589412829e-16
3.200013851780504126e+01,1.200000767779748116e+02,-2.155378366499362510e-15,2.478020221641877185e+00,3.139970665648636583e+00,4.898587196589412829e-16
3.200014072570761670e+01,1.200000801254486333e+02,-2.204364238465257516e-15,2.411718166756170678e+00,3.191177758154229771e+00,4.898587196589412829e-16
3.200014287338616015e+01,1.200000835264493162e+02,-2.253350110431152522e-15,2.344358252574493928e+00,3.240985094625685736e+00,4.898587196589412829e-16
3.200014495989862695e+01,1.200000869794850473e+02,-2.302335982397047528e-15,2.275970025381473860e+00,3.289370827919079865e+00,4.898587196589412829e-16
3.200014698432980254e+01,1.200000904830411628e+02,-2.351321854362942534e-15,2.206583482513809091e+00,3.336313734452626356e+00,4.898587196589412829e-16
3.200014894579171454e+01,1.200000940355809433e+02,-2.400307726328837539e-15,2.136229059202447544e+00,3.381793223516042612e+00,4.898587196589412829e-16
3.200015084342398097e+01,1.200000976355461120e+02,-2.449293598294732545e-15,2.064937615222689260e+00,3.425789346302313465e+00,4.898587196589412829e-16
3.200015267639425787e+01,1.200001012813576295e+02,-2.498279470260627551e-15,1.992740421358068392e+00,3.468282804657899732e+00,4.898587196589412829e-16
