q0 (),q1,q2,q3
4.329780281177467045e-17,7.071067811865475727e-01,7.071067811865474617e-01,4.329780281177465813e-17
4.329100107467589954e-17,7.069957003899700609e-01,7.072178445359644794e-01,4.330460348054296814e-17
4.327807483153891311e-17,7.067845988193623974e-01,7.074288168231153140e-01,4.331752180735137169e-17
4.325963125679827184e-17,7.064833923857444242e-01,7.077296208886061368e-01,4.333594074415006523e-17
4.323621500710748724e-17,7.061009760072900487e-01,7.081111577157588322e-01,4.335930313685653578e-17
4.320831489715534585e-17,7.056453326336811216e-01,7.085652154405418512e-01,4.338710615382071456e-17
4.317636982000656876e-17,7.051236299326081314e-01,7.090843860293796208e-01,4.341889618381229595e-17
4.314077400475767985e-17,7.045423061538064191e-01,7.096619891465768548e-01,4.345426417424495010e-17
4.310188169174708825e-17,7.039071464810310319e-01,7.102920027234801426e-01,4.349284137976365503e-17
4.306001129486680445e-17,7.032233510077658956e-01,7.109689997442986131e-01,4.353429549149253207e-17
4.301544911139656364e-17,7.024955953234123252e-01,7.116880907751684804e-01,4.357832711795504868e-17
4.296845263197354506e-17,7.017280845691975522e-01,7.124448717808593567e-01,4.362466658976879381e-17
4.291925349661696046e-17,7.009246017137188423e-01,7.132353767953918400e-01,4.367307106155665242e-17
4.286806013697246296e-17,7.000885507040703892e-01,7.140560350372190390e-01,4.372332188600902669e-17
4.281506013998473639e-17,6.992229950675451500e-01,7.149036320853124904e-01,4.377522223660475187e-17
4.276042236392456448e-17,6.983306924689801631e-01,7.157752747586316744e-01,4.382859495709877544e-17
4.270429883399009332e-17,6.974141256682740986e-01,7.166683593673972563e-01,4.388328061747340277e-17
4.264682644148399632e-17,6.964755302700562645e-01,7.175805430298705101e-01,4.393913575759752221e-17
4.258812846776905225e-17,6.955169196117699792e-01,7.185097177726649242e-01,4.399603130132810964e-17
4.252831595176307880e-17,6.945401070965595558e-01,7.194539871557454891e-01,4.405385112520423139e-17
4.246748891759997549e-17,6.935467262424969137e-01,7.204116451851088065e-01,4.411249076722111199e-17
4.240573747721403490e-17,6.925382486891495937e-01,7.213811572965885821e-01,4.417185626242402623e-17
4.234314282096321029e-17,6.915160003756863905e-01,7.223611432132917010e-01,4.423186309322902461e-17
4.227977810796282606e-17,6.904811760811305765e-01,7.233503614968466167e-01,4.429243524345970087e-17
4.221570926652868666e-17,6.894348524965877578e-01,7.243476956289764956e-01,4.435350434608936307e-17
4.215099571400428949e-17,6.883779999809161998e-01,7.253521414749346530e-01,4.441500891559784275e-17
4.208569100425280840e-17,6.873114931350737811e-01,7.263627959941474366e-01,4.447689365669773121e-17
4.201984341021344331e-17,6.862361203159849099e-01,7.273788470760371716e-01,4.453910884195805086e-17
4.195349644814043854e-17,6.851525921980132772e-01,7.283995643905499806e-01,4.460160975156066988e-17
4.188668934944804908e-17,6.840615494787752882e-01,7.294242911534390972e-01,4.466435616906931100e-17
4.181945748546726539e-17,6.829635698159436386e-01,7.304524367159456189e-01,4.472731192767836731e-17
4.175183274986938397e-17,6.818591740726981376e-01,7.314834698972342286e-01,4.479044450194235963e-17
4.168384390302060511e-17,6.807488319414629618e-01,7.325169129858598582e-01,4.485372464047167405e-17
4.161551688209379954e-17,6.796329670084164665e-01,7.335523363437244093e-01,4.491712603552023643e-17
