ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.000000000000000000e+00,-6.123233995736766036e-17,1.224646799147353207e-16
9.999999986292216203e-01,5.235987753592961469e-05,1.224646799147353207e-16
9.999999884717537535e-01,1.518436443399301286e-04,1.224646799147353207e-16
9.999999568587257803e-01,2.937389088864234108e-04,1.224646799147353207e-16
9.999998877546347753e-01,4.738045143114194406e-04,1.224646799147353207e-16
9.999997631742393311e-01,6.882234123043640042e-04,1.224646799147353207e-16
9.999995642325351097e-01,9.335602497246221114e-04,1.224646799147353207e-16
9.999992719092980487e-01,1.206723196847384570e-03,1.224646799147353207e-16
9.999988675928186410e-01,1.504929593157983570e-03,1.224646799147353207e-16
9.999983334539556123e-01,1.825675028947531999e-03,1.224646799147353207e-16
9.999976526908418428e-01,2.166705519112246785e-03,1.224646799147353207e-16
9.999968096759571656e-01,2.525992459890622453e-03,1.224646799147353207e-16
9.999957900304142777e-01,2.901710090198946889e-03,1.224646799147353207e-16
9.999945806448304886e-01,3.292215207055717002e-03,1.224646799147353207e-16
9.999931696618228338e-01,3.696028909638852163e-03,1.224646799147353207e-16
9.999915464317171709e-01,4.111820169074693887e-03,1.224646799147353207e-16
9.999897014503478232e-01,4.538391041346269417e-03,1.224646799147353207e-16
9.999876262856779441e-01,4.974663358984232793e-03,1.224646799147353207e-16
9.999853134982931158e-01,5.419666753635471804e-03,1.224646799147353207e-16
9.999827565595023060e-01,5.872527876404725483e-03,1.224646799147353207e-16
9.999799497697597905e-01,6.332460696174913549e-03,1.224646799147353207e-16
9.999768881793271724e-01,6.798757768100130265e-03,1.224646799147353207e-16
9.999735675124876710e-01,7.270782375244438760e-03,1.224646799147353207e-16
9.999699840961605579e-01,7.747961456045475079e-03,1.224646799147353207e-16
9.999661347934124533e-01,8.229779239017746134e-03,1.224646799147353207e-16
9.999620169421018501e-01,8.715771513968522885e-03,1.224646799147353207e-16
9.999576282987017173e-01,9.205520476074055200e-03,1.224646799147353207e-16
9.999529669872070370e-01,9.698650085529341922e-03,1.224646799147353207e-16
9.999480314529383129e-01,1.019482189121465911e-02,1.224646799147353207e-16
9.999428204209892534e-01,1.069373127197737264e-02,1.224646799147353207e-16
9.999373328590274168e-01,1.119510405376897798e-02,1.224646799147353207e-16
9.999315679441322935e-01,1.169869346505211273e-02,1.224646799147353207e-16
9.999255250333524137e-01,1.220427739665268067e-02,1.224646799147353207e-16
9.999192036376611803e-01,1.271165593561292273e-02,1.224646799147353207e-16
9.999126033990008988e-01,1.322064914564754362e-02,1.224646799147353207e-16
9.999057240701201277e-01,1.373109506954310263e-02,1.224646799147353207e-16
9.998985654969235748e-01,1.424284793130740565e-02,1.224646799147353207e-16
9.998911276030746365e-01,1.475577651809620652e-02,1.224646799147353207e-16
9.998834103766072179e-01,1.526976272393856283e-02,1.224646799147353207e-16
9.998754138583277884e-01,1.578470023908340805e-02,1.224646799147353207e-16
9.998671381318027240e-01,1.630049337040560126e-02,1.224646799147353207e-16
9.998585833147473068e-01,1.681705597976663677e-02,1.224646799147353207e-16
9.998497495516515121e-01,1.733431052853426704e-02,1.224646799147353207e-16
