gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00,3.000000000000000000e+00,-1.836970198721029688e-16,3.673940397442059375e-16
3.200000270545092462e+01,1.200000000067917796e+02,-3.673940397442058266e-17,2.999936622851083090e+00,1.950022760989018542e-02,3.673940397442059375e-16
3.200000541070538418e+01,1.200000000444122890e+02,-7.347880794884118997e-17,2.999458658255841126e+00,5.698909908104392297e-02,3.673940397442059375e-16
3.200000811526603428e+01,1.200000001252557098e+02,-1.102182119232618281e-16,2.998308128568925479e+00,1.007390994475715756e-01,3.673940397442059375e-16
3.200001081848891005e+01,1.200000002536276185e+02,-1.469576158976823553e-16,2.996413365012464691e+00,1.466524666505029384e-01,3.673940397442059375e-16
3.200001351969763164e+01,1.200000004310046648e+02,-1.836970198721028701e-16,2.993766522950828790e+00,1.932925401015378186e-01,3.673940397442059375e-16
3.200001621821571973e+01,1.200000006578688243e+02,-2.204364238465233850e-16,2.990372481902668689e+00,2.401508265221495020e-01,3.673940397442059375e-16
3.200001891337146986e+01,1.200000009343473693e+02,-2.571758278209441464e-16,2.986236191818351760e+00,2.870425171890537142e-01,3.673940397442059375e-16
3.200002160449697186e+01,1.200000012604359512e+02,-2.939152317953649078e-16,2.981361045810631438e+00,3.338956641271936254e-01,3.673940397442059375e-16
3.200002429092693745e+01,1.200000016360763482e+02,-3.306546357697856692e-16,2.975749403358792122e+00,3.806776699647516637e-01,3.673940397442059375e-16
3.200002697199796131e+01,1.200000020611836362e+02,-3.673940397442064305e-16,2.969403167354227158e+00,4.273696639990789414e-01,3.673940397442059375e-16
3.200002964704830077e+01,1.200000025356556108e+02,-4.041334437186271919e-16,2.962324124450028684e+00,4.739575737356345186e-01,3.673940397442059375e-16
3.200003231541782611e+01,1.200000030593761551e+02,-4.408728476930479533e-16,2.954514112252109470e+00,5.204290158159243784e-01,3.673940397442059375e-16
3.200003497644812711e+01,1.200000036322163623e+02,-4.776122516674682216e-16,2.945975094341107159e+00,5.667722148464078291e-01,3.673940397442059375e-16
3.200003762948261965e+01,1.200000042540350051e+02,-5.143516556418884900e-16,2.936709192037684879e+00,6.129756287172994922e-01,3.673940397442059375e-16
3.200004027386669492e+01,1.200000049246787199e+02,-5.510910596163087583e-16,2.926718697190293206e+00,6.590278199869498144e-01,3.673940397442059375e-16
3.200004290894788994e+01,1.200000056439820781e+02,-5.878304635907290267e-16,2.916006076970422356e+00,7.049174129439339520e-01,3.673940397442059375e-16
3.200004553407604391e+01,1.200000064117675436e+02,-6.245698675651492950e-16,2.904573975383409667e+00,7.506330804896741427e-01,3.673940397442059375e-16
3.200004814860344737e+01,1.200000072278457424e+02,-6.613092715395695634e-16,2.892425213442240128e+00,7.961635413931057448e-01,3.673940397442059375e-16
3.200005075188499148e+01,1.200000080920153067e+02,-6.980486755139898317e-16,2.879562788789874261e+00,8.414975611471968708e-01,3.673940397442059375e-16
3.200005334327836692e+01,1.200000090040629885e+02,-7.347880794884101001e-16,2.865989875081175420e+00,8.866239540708271694e-01,3.673940397442059375e-16
3.200005592214418471e+01,1.200000099637637732e+02,-7.715274834628303684e-16,2.851709821245900667e+00,9.315315858357532397e-01,3.673940397442059375e-16
3.200005848784613960e+01,1.200000109708808793e+02,-8.082668874372506368e-16,2.836726150679734992e+00,9.762093761328736186e-01,3.673940397442059375e-16
3.200006103975120197e+01,1.200000120251658302e+02,-8.450062914116709051e-16,2.821042560381429976e+00,1.020646301377997611e+00,3.673940397442059375e-16
3.200006357722970307e+01,1.200000131263584677e+02,-8.817456953860911734e-16,2.804662920043038632e+00,1.064831397421984072e+00,3.673940397442059375e-16
3.200006609965557658e+01,1.200000142741871230e+02,-9.184850993605122306e-16,2.787591271096024226e+00,1.108753762252580710e+00,3.673940397442059375e-16
3.200006860640644391e+01,1.200000154683685309e+02,-9.552245033349334851e-16,2.769831825714426987e+00,1.152402558683155886e+00,3.673940397442059375e-16
3.200007109686379891e+01,1.200000167086081149e+02,-9.919639073093547395e-16,2.751388965775694473e+00,1.195767017026207135e+00,3.673940397442059375e-16
3.200007357041317135e+01,1.200000179945998582e+02,-1.028703311283775994e-15,2.732267241779565481e+00,1.238836437750474362e+00,3.673940397442059375e-16
3.200007602644423343e+01,1.200000193260264325e+02,-1.065442715258197248e-15,2.712471371725316605e+00,1.281600194120842140e+00,3.673940397442059375e-16
3.200007846435100589e+01,1.200000207025593539e+02,-1.102182119232618503e-15,2.692006239947674295e+00,1.324047734820306577e+00,3.673940397442059375e-16
3.200008088353197877e+01,1.200000221238589688e+02,-1.138921523207039757e-15,2.670876895911678872e+00,1.366168586553355713e+00,3.673940397442059375e-16
3.200008328339023222e+01,1.200000235895745959e+02,-1.175660927181461012e-15,2.649088552966806454e+00,1.407952356630091995e+00,3.673940397442059375e-16
3.200008566333365678e+01,1.200000250993446116e+02,-1.212400331155882266e-15,2.626646587060652571e+00,1.449388735530473316e+00,3.673940397442059375e-16
3.200008802277503150e+01,1.200000266527964783e+02,-1.249139735130303520e-15,2.603556535412498096e+00,1.490467499448031807e+00,3.673940397442059375e-16
3.200009036113220873e+01,1.200000282495469293e+02,-1.285879139104724775e-15,2.579824095147083440e+00,1.531178512812445547e+00,3.673940397442059375e-16
3.200009267782822064e+01,1.200000298892019828e+02,-1.322618543079146029e-15,2.555455121888927650e+00,1.571511730790338568e+00,3.673940397442059375e-16
3.200009497229145694e+01,1.200000315713570984e+02,-1.359357947053567284e-15,2.530455628317541894e+00,1.611457201763694114e+00,3.673940397442059375e-16
3.200009724395579980e+01,1.200000332955971771e+02,-1.396097351027988538e-15,2.504831782683889063e+00,1.651005069785266066e+00,3.673940397442059375e-16
3.200009949226074468e+01,1.200000350614968596e+02,-1.432836755002409793e-15,2.478589907288461180e+00,1.690145577010387701e+00,3.673940397442059375e-16
3.200010171665156378e+01,1.200000368686203984e+02,-1.469576158976831047e-15,2.451736476921347219e+00,1.728869066104573360e+00,3.673940397442059375e-16
3.200010391657941966e+01,1.200000387165219422e+02,-1.506315562951252301e-15,2.424278117264673238e+00,1.767165982626321075e+00,3.673940397442059375e-16
3.200010609150150742e+01,1.200000406047454931e+02,-1.543054966925673556e-15,2.396221603257816746e+00,1.805026877384527495e+00,3.673940397442059375e-16
3.200010824088119676e+01,1.200000425328252334e+02,-1.579794370900094810e-15,2.367573857425790074e+00,1.842442408769936701e+00,3.673940397442059375e-16
3.200011036418816701e+01,1.200000445002853837e+02,-1.616533774874516065e-15,2.338341948171211104e+00,1.879403345060039143e+00,3.673940397442059375e-16
3.200011246089852790e+01,1.200000465066405297e+02,-1.653273178848937319e-15,2.308533088030282787e+00,1.915900566696864260e+00,3.673940397442059375e-16
3.200011453049494037e+01,1.200000485513956505e+02,-1.690012582823358573e-15,2.278154631893205551e+00,1.951925068537092356e+00,3.673940397442059375e-16
3.200011657246675156e+01,1.200000506340461754e+02,-1.726751986797779828e-15,2.247214075189468030e+00,1.987467962073941052e+00,3.673940397442059375e-16
3.200011858631016537e+01,1.200000527540783111e+02,-1.763491390772201082e-15,2.215719052038463310e+00,2.022520477630269209e+00,3.673940397442059375e-16
3.200012057152826372e+01,1.200000549109689274e+02,-1.800230794746620956e-15,2.183677333365884543e+00,2.057073966522366071e+00,3.673940397442059375e-16
3.200012252763124820e+01,1.200000571041858564e+02,-1.836970198721040239e-15,2.151096824986362677e+00,2.091119903193881857e+00,3.673940397442059375e-16
3.200012445413646134e+01,1.200000593331879770e+02,-1.873709602695459521e-15,2.117985565652828583e+00,2.124649887319383090e+00,3.673940397442059375e-16
3.200012635056858556e+01,1.200000615974252867e+02,-1.910449006669878803e-15,2.084351725073067652e+00,2.157655645877007977e+00,3.673940397442059375e-16
3.200012821645967875e+01,1.200000638963391282e+02,-1.947188410644298085e-15,2.050203601893969552e+00,2.190129035189706030e+00,3.673940397442059375e-16
3.200013005134938737e+01,1.200000662293622895e+02,-1.983927814618717368e-15,2.015549621653959012e+00,2.222062042934576098e+00,3.673940397442059375e-16
