gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.705461556543510700e-05,3.543207813446995567e-03,-8.977859580299312192e-01
-2.761118133897248771e-05,3.543207738781126159e-03,-1.707785955370483943e+00
-2.866865623804457799e-05,3.543207365468686604e-03,-2.436785950332592154e+00
-3.017694906502960917e-05,3.543206291358705958e-03,-3.092885943154101369e+00
-3.209097730168525010e-05,3.543204006757945650e-03,-3.683375934049074818e+00
-3.437016599102307572e-05,3.543199939632959896e-03,-4.214816923210172206e+00
-3.697799674121241616e-05,3.543193489110011210e-03,-4.693113810810792152e+00
-3.988160185675588654e-05,3.543184049871494525e-03,-5.123581007006997368e+00
-4.305139909163334199e-05,3.543171029509798158e-03,-5.511001480939254016e+00
-4.646076296354587667e-05,3.543153860469072138e-03,-5.859679904833985375e+00
-5.008572897104045165e-05,3.543132007861157090e-03,-6.173490483694980213e+00
-5.390472741933004339e-05,3.543104974167086887e-03,-6.455920002025655968e+00
-5.789834388935396445e-05,3.543072301616441433e-03,-6.710106565879099705e+00
-6.204910368108201857e-05,3.543033572862489770e-03,-6.938874470703094488e+00
-6.634127782928234693e-05,3.542988410432593247e-03,-7.144765582400653514e+00
-7.076070853062073731e-05,3.542936475323605998e-03,-7.330067580284498341e+00
-7.529465203762310082e-05,3.542877465025332309e-03,-7.496839375736087163e+00
-7.993163727004964165e-05,3.542811111186780146e-03,-7.646933988998735998e+00
-8.466133856967592464e-05,3.542737177086343215e-03,-7.782019138291442317e+00
-8.947446118235000362e-05,3.542655455025060188e-03,-7.903595770011310861e+00
-9.436263819320614248e-05,3.542565763729543273e-03,-8.013014735915742648e+00
-9.931833776866733803e-05,3.542467945825843959e-03,-8.111491802586405342e+00
-1.043347796737816534e-04,3.542361865426137384e-03,-8.200121159946807126e+00
-1.094058601368085802e-04,3.542247405855313003e-03,-8.279887578928118330e+00
-1.145260842259599680e-04,3.542124467533366849e-03,-8.351677353368389234e+00
-1.196905049868496871e-04,3.541992966021169625e-03,-8.416288147721886048e+00
-1.248946686644587236e-04,3.541852830231073841e-03,-8.474437859997438593e+00
-1.301345654011232841e-04,3.541704000799416208e-03,-8.526772598403017156e+00
-1.354065848629572430e-04,3.541546428614978162e-03,-8.573873860325790019e+00
-1.407074763019285145e-04,3.541380073495307285e-03,-8.616264993414224804e+00
-1.460343126101105050e-04,3.541204903001689969e-03,-8.654417010551942013e+00
-1.513844579669957734e-04,3.541020891382764234e-03,-8.688753823334208093e+00
-1.567555387206839065e-04,3.540828018636574693e-03,-8.719656952196769950e+00
