ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
4.689203587091664294e-02,-1.199522186948852877e-15,9.794840555688681505e+00
8.930353655425450621e-02,-1.199522186975754217e-15,9.794840497624916154e+00
1.274738870307111083e-01,-1.199522187002655558e-15,9.794840387106068746e+00
1.618272023209745281e-01,-1.199522187029557095e-15,9.794840229377676621e+00
1.927451859436644099e-01,-1.199522187056458435e-15,9.794840029160765127e+00
2.205713710655383408e-01,-1.199522187083359775e-15,9.794839790704335414e+00
2.456149375366785126e-01,-1.199522187110261115e-15,9.794839517832578224e+00
2.681541472221590228e-01,-1.199522187137162258e-15,9.794839213987390991e+00
2.884394358005472059e-01,-1.199522187164063599e-15,9.794838882266617475e+00
3.066961953825538267e-01,-1.199522187190964939e-15,9.794838525458466449e+00
3.231272788678188346e-01,-1.199522187217865687e-15,9.794838146072491369e+00
3.379152538660187832e-01,-1.199522187244766436e-15,9.794837746367468512e+00
3.512244312258629986e-01,-1.199522187271666987e-15,9.794837328376463148e+00
3.632026907111901570e-01,-1.199522187298567538e-15,9.794836893929424804e+00
3.739831241094556669e-01,-1.199522187325467695e-15,9.794836444673482134e+00
3.836855140293695676e-01,-1.199522187352367458e-15,9.794835982091234072e+00
3.924176648187719385e-01,-1.199522187379266431e-15,9.794835507517200668e+00
4.002766003907182180e-01,-1.199522187406165602e-15,9.794835022152636128e+00
4.073496422669597439e-01,-1.199522187433063984e-15,9.794834527078830178e+00
4.137153798170727370e-01,-1.199522187459961774e-15,9.794834023269132217e+00
4.194445434736761014e-01,-1.199522187486858973e-15,9.794833511599719600e+00
4.246007906261272669e-01,-1.199522187513755580e-15,9.794832992859324960e+00
4.292414129248485755e-01,-1.199522187540651398e-15,9.794832467757970562e+00
4.334179728552202127e-01,-1.199522187567546230e-15,9.794831936934837557e+00
4.371768766540848894e-01,-1.199522187594440668e-15,9.794831400965360757e+00
4.405598899346015451e-01,-1.199522187621333725e-15,9.794830860367575553e+00
4.436046017486131587e-01,-1.199522187648225599e-15,9.794830315607880422e+00
4.463448422427792606e-01,-1.199522187675116881e-15,9.794829767106188356e+00
4.488110585490934779e-01,-1.199522187702006782e-15,9.794829215240566711e+00
4.510306530863507080e-01,-1.199522187728895698e-15,9.794828660351436511e+00
4.530282880314665528e-01,-1.199522187755783233e-15,9.794828102745322340e+00
4.548261593436652706e-01,-1.199522187782669388e-15,9.794827542698243406e+00
4.564442433862492265e-01,-1.199522187809554359e-15,9.794826980458772425e+00
4.579005188861909881e-01,-1.199522187836437753e-15,9.794826416250762335e+00
4.592111666977659601e-01,-1.199522187863319568e-15,9.794825850275833190e+00
4.603907495898226232e-01,-1.199522187890199609e-15,9.794825282715587278e+00
4.614523740543247099e-01,-1.199522187917078073e-15,9.794824713733611077e+00
4.624078359340401123e-01,-1.199522187943954958e-15,9.794824143477280032e+00
4.632677514874601332e-01,-1.199522187970830266e-15,9.794823572079373264e+00
4.640416753472272338e-01,-1.199522187997703207e-15,9.794822999659530183e+00
4.647382066827203673e-01,-1.199522188024574768e-15,9.794822426325586306e+00
4.653650847463803863e-01,-1.199522188051443765e-15,9.794821852174711907e+00
4.659292748654049188e-01,-1.199522188078310789e-15,9.794821277294529338e+00
4.664370458342717018e-01,-1.199522188105176039e-15,9.794820701764027859e+00
4.668940395680112321e-01,-1.199522188132038725e-15,9.794820125654435827e+00
4.673053337901514892e-01,-1.199522188158899439e-15,9.794819549030016503e+00
4.676754984518677327e-01,-1.199522188185757392e-15,9.794818971948734188e+00
4.680086465092180292e-01,-1.199522188212613175e-15,9.794818394462909694e+00
4.683084796226552049e-01,-1.199522188239466789e-15,9.794817816619771023e+00
4.685783292865868255e-01,-1.199522188266317445e-15,9.794817238461961395e+00
4.688211938459803663e-01,-1.199522188293165734e-15,9.794816660028009991e+00
4.690397718113067937e-01,-1.199522188320010868e-15,9.794816081352726300e+00
4.692364918419903441e-01,-1.199522188346853832e-15,9.794815502467594470e+00
4.694135397315127300e-01,-1.199522188373693642e-15,9.794814923401077067e+00
4.695728826940085421e-01,-1.199522188400530887e-15,9.794814344178945476e+00
4.697162912221986009e-01,-1.199522188427364976e-15,9.794813764824528590e+00
4.698453587595325942e-01,-1.199522188454195911e-15,9.794813185358968610e+00
4.699615194051151024e-01,-1.199522188481024281e-15,9.794812605801435978e+00
4.700660638481407583e-01,-1.199522188507848708e-15,9.794812026169321229e+00
4.701601537088851979e-01,-1.199522188534670570e-15,9.794811446478426831e+00
4.702448344455966156e-01,-1.199522188561489080e-15,9.794810866743116406e+00
4.703210469706987640e-01,-1.199522188588304040e-15,9.794810286976447955e+00
4.703896381053733200e-01,-1.199522188615116041e-15,9.794809707190333725e+00
4.704513699886845313e-01,-1.199522188641923901e-15,9.794809127395620152e+00
4.705069285457900152e-01,-1.199522188668728606e-15,9.794808547602226412e+00
4.705569311093321661e-01,-1.199522188695529564e-15,9.794807967819213701e+00
4.706019332786897102e-01,-1.199522188722326971e-15,9.794807388054882935e+00
4.706424350933035572e-01,-1.199522188749120435e-15,9.794806808316842250e+00
4.706788865886707418e-01,-1.199522188775910348e-15,9.794806228612094046e+00
4.707116927967394115e-01,-1.199522188802696120e-15,9.794805648947066956e+00
4.707412182462628047e-01,-1.199522188829478343e-15,9.794805069327701119e+00
4.707677910131196075e-01,-1.199522188856256029e-15,9.794804489759478372e+00
4.707917063656003043e-01,-1.199522188883030362e-15,9.794803910247484424e+00
4.708132300451672858e-01,-1.199522188909799568e-15,9.794803330796421292e+00
4.708326012191368370e-01,-1.199522188936565224e-15,9.794802751410685460e+00
4.708500351380938698e-01,-1.199522188963326542e-15,9.794802172094360770e+00
4.708657255275653930e-01,-1.199522188990083323e-15,9.794801592851269945e+00
4.708798467405257426e-01,-1.199522189016836160e-15,9.794801013684999447e+00
4.708925556946522706e-01,-1.199522189043584264e-15,9.794800434598913697e+00
4.709039936158549988e-01,-1.199522189070328029e-15,9.794799855596183491e+00
4.709142876074534079e-01,-1.199522189097066470e-15,9.794799276679807321e+00
4.709235520624350801e-01,-1.199522189123800769e-15,9.794798697852630909e+00
4.709318899344890896e-01,-1.199522189150530532e-15,9.794798119117350765e+00
4.709393938819366188e-01,-1.199522189177255167e-15,9.794797540476539055e+00
4.709461472972661378e-01,-1.199522189203975069e-15,9.794796961932650703e+00
4.709522252337183801e-01,-1.199522189230690041e-15,9.794796383488042935e+00
4.709576952392101057e-01,-1.199522189257400082e-15,9.794795805144975276e+00
4.709626181068663486e-01,-1.199522189284104799e-15,9.794795226905621988e+00
4.709670485505005888e-01,-1.199522189310804388e-15,9.794794648772089829e+00
4.709710358125448471e-01,-1.199522189337498849e-15,9.794794070746409176e+00
4.709746242111887415e-01,-1.199522189364188183e-15,9.794793492830555337e+00
4.709778536328025345e-01,-1.199522189390871995e-15,9.794792915026443225e+00
4.709807599751206775e-01,-1.199522189417550876e-15,9.794792337335946897e+00
4.709833755461036997e-01,-1.199522189444223841e-15,9.794791759760883565e+00
4.709857294229170543e-01,-1.199522189470891284e-15,9.794791182303038468e+00
4.709878477750096271e-01,-1.199522189497553402e-15,9.794790604964161318e+00
4.709897541548858646e-01,-1.199522189524209801e-15,9.794790027745966299e+00
4.709914697598002187e-01,-1.199522189550860283e-15,9.794789450650137397e+00
4.709930136672815237e-01,-1.199522189577504849e-15,9.794788873678331953e+00
