ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000000000000000e+01,1.199999999999999858e+02,0.000000000000000000e+00
3.200000027054615259e+01,1.199999999999999858e+02,-3.673940397442059190e-18
3.200000054109231229e+01,1.200000000000498659e+02,-7.347880794884118380e-18
3.200000081163843646e+01,1.200000000001944898e+02,-1.102182119232617757e-17
3.200000108218448958e+01,1.200000000004742446e+02,-1.469576158976823676e-17
3.200000135273037216e+01,1.200000000009255388e+02,-1.836970198721029441e-17
3.200000162327594921e+01,1.200000000015810286e+02,-2.204364238465235206e-17
3.200000189382104310e+01,1.200000000024701876e+02,-2.571758278209440971e-17
3.200000216436542644e+01,1.200000000036195331e+02,-2.939152317953646736e-17
3.200000243490882212e+01,1.200000000050528968e+02,-3.306546357697852501e-17
3.200000270545092462e+01,1.200000000067917796e+02,-3.673940397442058266e-17
3.200000297599135735e+01,1.200000000088554231e+02,-4.041334437186264031e-17
3.200000324652975081e+01,1.200000000112612923e+02,-4.408728476930469796e-17
3.200000351706565738e+01,1.200000000140249909e+02,-4.776122516674675560e-17
3.200000378759861519e+01,1.200000000171606160e+02,-5.143516556418881325e-17
3.200000405812814108e+01,1.200000000206808437e+02,-5.510910596163087090e-17
3.200000432865370925e+01,1.200000000245970568e+02,-5.878304635907293472e-17
3.200000459917478679e+01,1.200000000289195299e+02,-6.245698675651499853e-17
3.200000486969081948e+01,1.200000000336574857e+02,-6.613092715395706234e-17
3.200000514020121045e+01,1.200000000388192518e+02,-6.980486755139912615e-17
3.200000541070538418e+01,1.200000000444122890e+02,-7.347880794884118997e-17
3.200000568120271538e+01,1.200000000504433046e+02,-7.715274834628325378e-17
3.200000595169260009e+01,1.200000000569183811e+02,-8.082668874372531759e-17
3.200000622217439883e+01,1.200000000638429611e+02,-8.450062914116738140e-17
3.200000649264746500e+01,1.200000000712219190e+02,-8.817456953860944521e-17
3.200000676311117331e+01,1.200000000790596459e+02,-9.184850993605150903e-17
3.200000703356484166e+01,1.200000000873601635e+02,-9.552245033349357284e-17
3.200000730400783056e+01,1.200000000961269677e+02,-9.919639073093563665e-17
3.200000757443947208e+01,1.200000001053632985e+02,-1.028703311283777005e-16
3.200000784485909833e+01,1.200000001150719982e+02,-1.065442715258197643e-16
3.200000811526603428e+01,1.200000001252557098e+02,-1.102182119232618281e-16
3.200000838565961203e+01,1.200000001359166930e+02,-1.138921523207038919e-16
3.200000865603915656e+01,1.200000001470570794e+02,-1.175660927181459434e-16
3.200000892640399286e+01,1.200000001586787306e+02,-1.212400331155879949e-16
3.200000919675343880e+01,1.200000001707833661e+02,-1.249139735130300464e-16
3.200000946708681226e+01,1.200000001833724355e+02,-1.285879139104720978e-16
3.200000973740344534e+01,1.200000001964473313e+02,-1.322618543079141493e-16
3.200001000770264881e+01,1.200000002100092473e+02,-1.359357947053562008e-16
3.200001027798374764e+01,1.200000002240593062e+02,-1.396097351027982523e-16
3.200001054824605973e+01,1.200000002385984885e+02,-1.432836755002403038e-16
3.200001081848891005e+01,1.200000002536276185e+02,-1.469576158976823553e-16
3.200001108871161648e+01,1.200000002691475345e+02,-1.506315562951244068e-16
3.200001135891349691e+01,1.200000002851589045e+02,-1.543054966925664583e-16
3.200001162909388341e+01,1.200000003016623680e+02,-1.579794370900085097e-16
3.200001189925207967e+01,1.200000003186584365e+02,-1.616533774874505612e-16
3.200001216938742488e+01,1.200000003361476786e+02,-1.653273178848926127e-16
3.200001243949923690e+01,1.200000003541304778e+02,-1.690012582823346642e-16
3.200001270958684074e+01,1.200000003726072606e+02,-1.726751986797767157e-16
3.200001297964956137e+01,1.200000003915783537e+02,-1.763491390772187672e-16
3.200001324968670957e+01,1.200000004110440699e+02,-1.800230794746608187e-16
3.200001351969763164e+01,1.200000004310046648e+02,-1.836970198721028701e-16
3.200001378968163124e+01,1.200000004514603944e+02,-1.873709602695449216e-16
